full_name,"lib_cell.full_name","lib_cell.function_id"
u7_mem_reg[3][27],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][31],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][23],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u8_mem_reg[3][3],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][19],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u8_mem_reg[3][5],asap7sc7p5t_SEQ_LVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_L,Ia1.0(0)_a1.0(1)____:1_
u8_mem_reg[3][17],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u5_mem_reg[1][2],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][15],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][7],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][9],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][11],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][1],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][3],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][4],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][5],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][7],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u6_mem_reg[1][13],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[3][1],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][8],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][9],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][10],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u8_mem_reg[3][29],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u7_mem_reg[1][12],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u6_mem_reg[1][25],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u6_mem_reg[1][29],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u6_mem_reg[1][27],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u6_mem_reg[1][21],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u6_mem_reg[1][17],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u6_mem_reg[1][19],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u8_mem_reg[3][13],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx1_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u5_mem_reg[1][17],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
u5_mem_reg[1][22],asap7sc7p5t_SEQ_SLVT_TT_nldm_220123/DFFHQNx2_ASAP7_75t_SL,Ia1.0(0)_a1.0(1)____:1_
