ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
u12_wb_data_o_reg[30]/D,-1250.608154,-1248.147217,1343.419556,1349.952881,u9_dout_reg[30]/CLK,1182.389282,1182.389282,0.000000,92.811462,1343.419556,-1250.608154,5,0.000061,u12_wb_data_o_reg[30]/CLK,rise
u12_wb_data_o_reg[31]/D,-1242.169922,-1233.942749,1357.445190,1352.651245,u9_dout_reg[31]/CLK,1182.452148,1182.452148,0.000000,115.275223,1357.445190,-1242.169922,7,0.000061,u12_wb_data_o_reg[31]/CLK,rise
u12_wb_data_o_reg[18]/D,-1225.579224,-1150.453857,1313.948120,1315.141479,u10_dout_reg[18]/CLK,1189.796753,1189.796753,0.000000,88.368919,1313.948242,-1225.579224,9,0.000053,u12_wb_data_o_reg[18]/CLK,rise
u12_wb_data_o_reg[22]/D,-1176.433838,-1194.001831,1259.589600,1270.491699,u9_dout_reg[22]/CLK,1150.221436,1150.221436,0.000000,83.155807,1259.589600,-1176.433838,9,0.000061,u12_wb_data_o_reg[22]/CLK,rise
u13_icc_r_reg[2]/D,-1158.593018,-1165.284058,1130.214233,1123.432983,u12_rf_we_reg/CLK,979.077759,979.077759,0.000000,-28.378731,1130.214111,-1158.593018,9,0.000000,u13_icc_r_reg[2]/CLK,rise
u13_icc_r_reg[11]/D,-1158.328857,-1165.996460,1130.846436,1125.260132,u12_rf_we_reg/CLK,979.077759,979.077759,0.000000,-27.482361,1130.846436,-1158.328857,9,0.000000,u13_icc_r_reg[11]/CLK,rise
u13_icc_r_reg[10]/D,-1154.060669,-1165.990479,1130.254150,1125.558105,u12_rf_we_reg/CLK,979.077759,979.077759,0.000000,-23.806511,1130.254028,-1154.060669,9,0.000000,u13_icc_r_reg[10]/CLK,rise
u13_icc_r_reg[3]/D,-1153.761108,-1167.084595,1129.924683,1123.560791,u12_rf_we_reg/CLK,979.077759,979.077759,0.000000,-23.836441,1129.924683,-1153.761108,9,0.000000,u13_icc_r_reg[3]/CLK,rise
u12_wb_data_o_reg[8]/D,-1150.018188,-1145.156006,1264.370850,1262.043823,u9_dout_reg[8]/CLK,1149.658081,1149.658081,0.000000,114.352692,1264.370850,-1150.018188,7,0.000061,u12_wb_data_o_reg[8]/CLK,rise
u12_wb_data_o_reg[2]/D,-1146.420288,-1139.858032,1261.593872,1257.859863,u9_dout_reg[2]/CLK,1149.534546,1149.534546,0.000000,115.173599,1261.593872,-1146.420288,7,0.000061,u12_wb_data_o_reg[2]/CLK,rise
