"from_pin.full_name","to_pin.full_name",delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
u7_mem_reg[3][31]/QN,g202676/B1,0.075345,0.075085,0.075345,UNINIT,0.075085,UNINIT
u7_mem_reg[3][31]/QN,g178812/B2,0.075345,0.075085,0.075345,UNINIT,0.075085,UNINIT
g202676/Y,g180564/D,0.051557,0.051142,0.051557,UNINIT,0.051142,UNINIT
g178812/Y,u7_mem_reg[3][31]/D,0.037450,0.037340,0.037450,UNINIT,0.037340,UNINIT
g180564/Y,g153839__180563/A1,0.025237,0.025365,0.025237,UNINIT,0.025365,UNINIT
g153839__180563/Y,u7_dout_reg[19]/D,0.042174,0.042055,0.042174,UNINIT,0.042055,UNINIT
u8_mem_reg[3][3]/QN,g201222/B2,0.060958,0.060843,0.060958,UNINIT,0.060843,UNINIT
u8_mem_reg[3][3]/QN,g172533/B1,0.060958,0.060843,0.060958,UNINIT,0.060843,UNINIT
g201222/Y,g157971/A,0.034228,0.033743,0.034228,UNINIT,0.033743,UNINIT
g172533/Y,u8_mem_reg[3][3]/D,0.019031,0.018972,0.019031,UNINIT,0.018972,UNINIT
g157971/Y,g153842__8246/A1,0.116449,0.116680,0.116449,UNINIT,0.116680,UNINIT
g157971/Y,g157747/A,0.116449,0.116680,0.116449,UNINIT,0.116680,UNINIT
g153842__8246/Y,u8_dout_reg[3]/D,0.014828,0.014754,0.014828,UNINIT,0.014754,UNINIT
g157747/Y,g224667/A1,0.050610,0.050694,0.050610,UNINIT,0.050694,UNINIT
g157747/Y,g154353__4733/A1,0.050610,0.050694,0.050610,UNINIT,0.050694,UNINIT
g224667/Y,g153592__219228/A2,0.029980,0.030042,0.029980,UNINIT,0.030042,UNINIT
g154353__4733/Y,g153594__219232/C,0.035905,0.036039,0.035905,UNINIT,0.036039,UNINIT
g153592__219228/Y,u8_dout_reg[7]/D,0.028707,0.028623,0.028707,UNINIT,0.028623,UNINIT
g153594__219232/Y,u8_dout_reg[5]/D,0.024708,0.024633,0.024708,UNINIT,0.024633,UNINIT
u8_mem_reg[3][5]/QN,g169184/B2,0.054402,0.054296,0.054402,UNINIT,0.054296,UNINIT
u8_mem_reg[3][5]/QN,g172475/B1,0.054402,0.054296,0.054402,UNINIT,0.054296,UNINIT
