full_name,max_slack
FE_OFC931_ld/A,INFINITY
FE_OFC931_ld/Y,INFINITY
FE_OFC928_in_slt3_6/A,INFINITY
FE_OFC928_in_slt3_6/Y,INFINITY
FE_OFC922_in_slt3_10/A,INFINITY
FE_OFC922_in_slt3_10/Y,INFINITY
FE_OFC920_in_slt6_13/A,INFINITY
FE_OFC920_in_slt6_13/Y,INFINITY
FE_OFC919_in_slt3_14/A,INFINITY
FE_OFC919_in_slt3_14/Y,INFINITY
FE_OFC918_in_slt4_15/A,INFINITY
FE_OFC918_in_slt4_15/Y,INFINITY
FE_OFC73350_sdata_pad_o/A,INFINITY
FE_OFC73350_sdata_pad_o/Y,INFINITY
u19_int_set_reg[2]/RESETN,INFINITY
u21_int_set_reg[2]/RESETN,INFINITY
FE_OFC311_out_slt0_6/A,INFINITY
FE_OFC311_out_slt0_6/Y,INFINITY
FE_OFC125_bit_clk_pad_i/A,INFINITY
FE_OFC125_bit_clk_pad_i/Y,INFINITY
FE_OFC37_suspended_o/A,INFINITY
FE_OFC37_suspended_o/Y,INFINITY
g152837/A,INFINITY
g152837/Y,INFINITY
g152849/A,INFINITY
g152849/Y,INFINITY
g152871/A,INFINITY
g152871/Y,INFINITY
g152883/A,INFINITY
g152883/Y,INFINITY
g153037/A,INFINITY
g153037/Y,INFINITY
g153542/A,INFINITY
g153542/Y,INFINITY
g153977/A,INFINITY
g153977/Y,INFINITY
g154157/A,INFINITY
g154157/Y,INFINITY
g156644/A,INFINITY
g156644/Y,INFINITY
g157199/A,INFINITY
g157199/Y,INFINITY
g157350/A,INFINITY
g157350/Y,INFINITY
g156646/A,INFINITY
g156646/Y,INFINITY
g156877/A,INFINITY
g156877/Y,INFINITY
g156645/A,INFINITY
g156645/Y,INFINITY
g156879/A,INFINITY
g156879/Y,INFINITY
g156648/A,INFINITY
g156648/Y,INFINITY
g157353/A,INFINITY
g157353/Y,INFINITY
g157207/A,INFINITY
g157207/Y,INFINITY
g158836/A,INFINITY
g158836/Y,INFINITY
g159186/A,INFINITY
g159186/B,INFINITY
g159186/Y,INFINITY
u14_crac_valid_r_reg/SI,-173.140076
u14_crac_valid_r_reg/SE,285.955566
g159616/A,INFINITY
g159616/Y,INFINITY
g160064/A,INFINITY
g160064/Y,INFINITY
g157583/A1,INFINITY
g157583/A2,INFINITY
g157583/B1,INFINITY
g157583/B2,INFINITY
g157583/C,INFINITY
g157583/Y,INFINITY
u2_in_valid_reg[0]/D,INFINITY
u2_in_valid_reg[0]/CLK,INFINITY
u2_in_valid_reg[0]/QN,INFINITY
g159787/A,INFINITY
g159787/Y,INFINITY
g160145/A,INFINITY
g160145/Y,INFINITY
u2_in_valid_reg[2]/D,INFINITY
u2_in_valid_reg[2]/CLK,INFINITY
u2_in_valid_reg[2]/QN,INFINITY
g160144/A,INFINITY
g160144/Y,INFINITY
g159758/A,INFINITY
g159758/Y,INFINITY
g160131/A,INFINITY
g160131/Y,INFINITY
g160112/A,INFINITY
g160112/Y,INFINITY
g159802/A,INFINITY
g159802/Y,INFINITY
g159638/A,INFINITY
g159638/Y,INFINITY
g159869/A,INFINITY
g159869/Y,INFINITY
g160159/A,INFINITY
g160159/Y,INFINITY
g160103/A,INFINITY
g160103/Y,INFINITY
g160140/A,INFINITY
g160140/Y,INFINITY
g160147/A,INFINITY
g160147/Y,INFINITY
g167218/A,INFINITY
g167218/Y,INFINITY
u2_out_le_reg[4]/D,INFINITY
u2_out_le_reg[4]/CLK,INFINITY
u2_out_le_reg[4]/QN,INFINITY
g169452/A,INFINITY
g169452/Y,INFINITY
g175692/A,INFINITY
g175692/Y,INFINITY
g175715/A,INFINITY
g175715/Y,INFINITY
g175719/A,INFINITY
g175719/Y,INFINITY
g175751/A,INFINITY
g175751/Y,INFINITY
g180069/A,INFINITY
g180069/Y,INFINITY
g180077/A,INFINITY
g180077/Y,INFINITY
g180081/A,INFINITY
g180081/Y,INFINITY
FE_OFC932_ld/A,INFINITY
FE_OFC932_ld/Y,INFINITY
FE_OFC923_in_slt4_8/A,INFINITY
FE_OFC923_in_slt4_8/Y,INFINITY
FE_OFC921_in_slt3_12/A,INFINITY
FE_OFC921_in_slt3_12/Y,INFINITY
u17_int_set_reg[2]/RESETN,INFINITY
u18_int_set_reg[2]/RESETN,INFINITY
u20_int_set_reg[2]/RESETN,INFINITY
FE_OFC239_out_slt0_12/A,INFINITY
FE_OFC239_out_slt0_12/Y,INFINITY
g152860/A,INFINITY
g152860/Y,INFINITY
g154437/A,INFINITY
g154437/Y,INFINITY
g155073/A,INFINITY
g155073/Y,INFINITY
g156003/A,INFINITY
