sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std
u9_dout_reg[30]/CLK,1182.389282,1182.389282,0.000000
u9_dout_reg[31]/CLK,1182.452148,1182.452148,0.000000
u10_dout_reg[18]/CLK,1189.796753,1189.796753,0.000000
u9_dout_reg[22]/CLK,1150.221436,1150.221436,0.000000
u12_rf_we_reg/CLK,979.077759,979.077759,0.000000
u9_dout_reg[8]/CLK,1149.658081,1149.658081,0.000000
u9_dout_reg[2]/CLK,1149.534546,1149.534546,0.000000
u9_dout_reg[14]/CLK,1149.418091,1149.418091,0.000000
u9_dout_reg[6]/CLK,1149.382812,1149.382812,0.000000
in_valid_s1_reg[0]/CLK,977.252869,977.252869,0.000000
u14_u6_en_out_l_reg/CLK,967.207825,967.207825,0.000000
in_valid_s_reg[2]/CLK,964.857056,964.857056,0.000000
u8_rp_reg[0]/CLK,940.860596,940.860596,0.000000
u9_dout_reg[21]/CLK,1125.697144,1125.697144,0.000000
u12_dout_reg[31]/CLK,979.082886,979.082886,0.000000
u12_dout_reg[19]/CLK,969.677063,969.677063,0.000000
u12_dout_reg[25]/CLK,974.331604,974.331604,0.000000
u12_dout_reg[27]/CLK,974.511658,974.511658,0.000000
u12_dout_reg[1]/CLK,975.761719,975.761719,0.000000
u12_dout_reg[5]/CLK,975.714478,975.714478,0.000000
u12_we1_reg/CLK,978.721802,978.721802,0.000000
u12_dout_reg[9]/CLK,975.249268,975.249268,0.000000
u12_dout_reg[7]/CLK,970.271484,970.271484,0.000000
u12_dout_reg[15]/CLK,970.164124,970.164124,0.000000
u12_dout_reg[21]/CLK,974.260742,974.260742,0.000000
u13_occ1_r_reg[8]/CLK,665.310852,665.310852,0.000000
u9_dout_reg[25]/CLK,1189.603516,1189.603516,0.000000
u9_dout_reg[3]/CLK,1182.513794,1182.513794,0.000000
u14_u4_en_out_l2_reg/CLK,672.3573,672.357300,0.000000
u9_dout_reg[12]/CLK,1182.117188,1182.117188,0.000000
u9_dout_reg[9]/CLK,1176.655396,1176.655396,0.000000
u9_dout_reg[23]/CLK,1182.445801,1182.445801,0.000000
u13_occ0_r_reg[26]/CLK,671.709351,671.709351,0.000000
u14_u3_full_empty_r_reg/CLK,671.757996,671.757996,0.000000
u9_dout_reg[13]/CLK,1150.458252,1150.458252,0.000000
u9_dout_reg[29]/CLK,1187.927856,1187.927856,0.000000
u10_mem_reg[3][3]/CLK,1188.985962,1188.985962,0.000000
u10_din_tmp1_reg[1]/CLK,1188.366821,1188.366821,0.000000
u12_re2_reg/CLK,978.817383,978.817383,0.000000
u13_icc_r_reg[0]/CLK,963.65509,963.655090,0.000000
u8_mem_reg[3][15]/CLK,940.710449,940.710449,0.000000
u12_dout_reg[18]/CLK,589.437927,589.437927,0.000000
u12_dout_reg[30]/CLK,587.767822,587.767822,0.000000
u8_rp_reg[2]/CLK,942.72876,942.728760,0.000000
u12_re1_reg/CLK,978.896973,978.896973,0.000000
u12_dout_reg[4]/CLK,589.413818,589.413818,0.000000
u12_dout_reg[0]/CLK,590.63446,590.634460,0.000000
u9_dout_reg[4]/CLK,1088.126343,1088.126343,0.000000
u9_dout_reg[10]/CLK,1088.215088,1088.215088,0.000000
u12_dout_reg[13]/CLK,587.771423,587.771423,0.000000
u12_dout_reg[3]/CLK,545.449829,545.449829,0.000000
u14_u1_en_out_l2_reg/CLK,457.434814,457.434814,0.000000
u13_occ0_r_reg[1]/CLK,469.824585,469.824585,0.000000
u13_occ0_r_reg[18]/CLK,457.312958,457.312958,0.000000
u14_u2_en_out_l_reg/CLK,457.460022,457.460022,0.000000
u5_wp_reg[0]/CLK,457.354645,457.354645,0.000000
u5_wp_reg[1]/CLK,457.581116,457.581116,0.000000
u13_occ1_r_reg[1]/CLK,948.890076,948.890076,0.000000
u13_occ0_r_reg[9]/CLK,441.008728,441.008728,0.000000
u12_dout_reg[24]/CLK,587.733276,587.733276,0.000000
u9_rp_reg[0]/CLK,1149.280762,1149.280762,0.000000
valid_s1_reg/CLK,445.137573,445.137573,0.000000
u12_dout_reg[14]/CLK,587.777405,587.777405,0.000000
u12_o8_we_reg/CLK,659.552307,659.552307,0.000000
u13_occ0_r_reg[24]/CLK,465.976624,465.976624,0.000000
u10_dout_reg[26]/CLK,1189.777588,1189.777588,0.000000
u9_wp_reg[2]/CLK,1149.229248,1149.229248,0.000000
u9_dout_reg[24]/CLK,1182.526733,1182.526733,0.000000
u12_dout_reg[23]/CLK,545.461792,545.461792,0.000000
in_valid_s1_reg[2]/CLK,974.476013,974.476013,0.000000
u12_dout_reg[16]/CLK,400.254761,400.254761,0.000000
u12_dout_reg[28]/CLK,400.233429,400.233429,0.000000
u9_dout_reg[16]/CLK,1150.224976,1150.224976,0.000000
u11_din_tmp1_reg[0]/CLK,1088.03125,1088.031250,0.000000
u11_din_tmp1_reg[3]/CLK,1087.983521,1087.983521,0.000000
u9_wp_reg[1]/CLK,1149.286255,1149.286255,0.000000
u11_din_tmp1_reg[4]/CLK,1080.502686,1080.502686,0.000000
u11_din_tmp1_reg[11]/CLK,1065.261841,1065.261841,0.000000
u11_din_tmp1_reg[10]/CLK,1065.266357,1065.266357,0.000000
