cell,type,class,sx,sy,px,py
FE_OFC73509_sync_pad_o,BUFx4f_ASAP7_75t_SL,core,432,270,1008,23418
FE_OFC73507_dma_req_o_5,BUFx4f_ASAP7_75t_SL,core,432,270,22554,1548
FE_OFC73505_wb_data_o_14,BUFx6f_ASAP7_75t_SL,core,540,270,21528,44478
FE_OFC73503_wb_data_o_8,BUFx6f_ASAP7_75t_SL,core,540,270,25092,44478
FE_OFC73501_suspended_o,BUFx6f_ASAP7_75t_SL,core,540,270,24984,44208
FE_OFC73499_wb_data_o_29,BUFx12f_ASAP7_75t_L,core,972,270,43830,17748
FE_OFC73497_wb_data_o_21,BUFx6f_ASAP7_75t_SL,core,540,270,23958,43938
FE_OFC73495_wb_data_o_0,BUFx6f_ASAP7_75t_SL,core,540,270,1008,20988
FE_OFC73493_wb_data_o_9,BUFx6f_ASAP7_75t_SL,core,540,270,43722,22878
FE_OFC73491_wb_data_o_24,BUFx6f_ASAP7_75t_SL,core,540,270,1008,23688
FE_OFC73489_wb_data_o_5,BUFx6f_ASAP7_75t_SL,core,540,270,23580,1008
FE_OFC73487_wb_data_o_2,BUFx6f_ASAP7_75t_SL,core,540,270,21420,44208
FE_OFC73485_dma_req_o_1,BUFx6f_ASAP7_75t_SL,core,540,270,44262,22878
FE_OFC73483_dma_req_o_2,BUFx6f_ASAP7_75t_SL,core,540,270,22770,44478
FE_OFC73481_wb_data_o_31,BUFx6f_ASAP7_75t_SL,core,540,270,22230,44478
FE_OFC73479_dma_req_o_3,BUFx6f_ASAP7_75t_SL,core,540,270,1008,22608
FE_OFC73477_wb_data_o_23,BUFx6f_ASAP7_75t_L,core,540,270,42534,23418
FE_OFC73475_wb_data_o_6,BUFx6f_ASAP7_75t_L,core,540,270,24444,44208
FE_OFC73473_ac97_reset_pad_o,BUFx12f_ASAP7_75t_SL,core,972,270,43830,18288
FE_OFC73471_wb_data_o_28,BUFx6f_ASAP7_75t_L,core,540,270,22932,1278
FE_OFC73469_wb_data_o_27,BUFx6f_ASAP7_75t_L,core,540,270,22392,1278
FE_OFC73467_dma_req_o_8,BUFx6f_ASAP7_75t_SL,core,540,270,23418,43938
FE_OFC73465_int_o,BUFx6f_ASAP7_75t_L,core,540,270,21960,1008
FE_OFC73463_wb_data_o_25,BUFx6f_ASAP7_75t_L,core,540,270,44208,23688
FE_OFC73461_wb_data_o_20,BUFx6f_ASAP7_75t_L,core,540,270,24120,1008
FE_OFC73459_dma_req_o_0,BUFx6f_ASAP7_75t_SL,core,540,270,44262,22608
FE_OFC73457_wb_ack_o,BUFx6f_ASAP7_75t_L,core,540,270,44208,20988
FE_OFC73455_dma_req_o_4,BUFx6f_ASAP7_75t_SL,core,540,270,1440,23418
FE_OFC73453_sdata_pad_o,BUFx6f_ASAP7_75t_L,core,540,270,1170,24498
FE_OFC73451_wb_data_o_22,BUFx6f_ASAP7_75t_SL,core,540,270,23472,44478
FE_OFC73449_dma_req_o_7,BUFx6f_ASAP7_75t_SL,core,540,270,23472,1278
FE_OFC73447_wb_data_o_16,BUFx6f_ASAP7_75t_L,core,540,270,1062,21528
FE_OFC73445_wb_data_o_30,BUFx6f_ASAP7_75t_SL,core,540,270,22392,43668
FE_OFC73443_wb_data_o_26,BUFx6f_ASAP7_75t_SL,core,540,270,1008,24228
FE_OFC967_u3_rp_1,INVx4_ASAP7_75t_SL,core,324,270,34650,23418
FE_OFC966_u3_rp_1,INVx2_ASAP7_75t_SL,core,216,270,34434,23418
FE_OFC965_u3_rp_1,INVx3_ASAP7_75t_SL,core,270,270,34056,23958
FE_OFC964_u9_wp_1,INVx3_ASAP7_75t_SL,core,270,270,19800,9378
FE_OFC963_u6_rp_2,INVx2_ASAP7_75t_SL,core,216,270,18882,33678
FE_OFC962_u6_rp_2,INVx2_ASAP7_75t_SL,core,216,270,18774,33408
FE_OFC961_u6_rp_2,INVx1_ASAP7_75t_L,core,162,270,19476,32868
FE_OFC960_u2_to_cnt_4,INVx1_ASAP7_75t_L,core,162,270,44316,9108
FE_OFC959_oc0_cfg_3,INVx4_ASAP7_75t_SL,core,324,270,32706,22608
FE_OFC958_oc0_cfg_3,BUFx3_ASAP7_75t_SL,core,324,270,32868,22068
FE_OFC957_ic0_cfg_2,BUFx2_ASAP7_75t_L,core,270,270,22338,8298
FE_OFC956_ic0_cfg_2,BUFx3_ASAP7_75t_SL,core,324,270,21312,11538
FE_OFC955_ic0_cfg_2,INVx2_ASAP7_75t_SL,core,216,270,22230,11538
FE_OFC954_ic0_cfg_2,INVx1_ASAP7_75t_SL,core,162,270,21312,12888
FE_OFC953_crac_din_13,INVx1_ASAP7_75t_L,core,162,270,28710,16668
FE_OFC952_crac_din_10,INVx1_ASAP7_75t_L,core,162,270,29628,16128
FE_OFC951_ic0_cfg_3,HB1xp67_ASAP7_75t_L,core,216,270,23202,8298
FE_OFC950_ic0_cfg_3,BUFx5_ASAP7_75t_SL,core,432,270,21798,11538
FE_OFC949_ic0_cfg_3,INVx3_ASAP7_75t_L,core,270,270,21960,12078
FE_OFC948_ic0_cfg_3,INVx2_ASAP7_75t_SL,core,216,270,21744,11808
FE_OFC947_ic1_cfg_4,INVx1_ASAP7_75t_L,core,162,270,27900,19368
FE_OFC946_crac_din_9,INVx1_ASAP7_75t_SL,core,162,270,28440,15048
FE_OFC945_u13_occ0_r_15,INVx2_ASAP7_75t_SL,core,216,270,27198,24228
FE_OFC944_ic0_cfg_4,INVx1_ASAP7_75t_L,core,162,270,18558,18828
FE_OFC942_out_slt0_11,INVx1_ASAP7_75t_L,core,162,270,28278,28548
FE_OFC941_out_slt0_11,INVx1_ASAP7_75t_L,core,162,270,27414,29088
FE_OFC940_out_slt0_11,INVx1_ASAP7_75t_SL,core,162,270,27360,28818
FE_OFC939_u3_rp_2,BUFx2_ASAP7_75t_SL,core,270,270,33678,23688
FE_OFC938_u3_rp_2,INVx4_ASAP7_75t_SL,core,324,270,33138,23148
FE_OFC937_u3_rp_2,INVx2_ASAP7_75t_SL,core,216,270,33462,23148
