"from_pin.full_name","to_pin.full_name",sense,delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
ks1_key_reg_reg[45]/CLK,ks1_key_reg_reg[45]/QN,rising_edge,66.148979,70.420273,66.148979,UNINIT,70.420273,UNINIT
g109380__4733/A1,g109380__4733/Y,negative_unate,32.812943,23.554214,32.812943,UNINIT,23.554214,UNINIT
g109380__4733/A1,g109380__4733/Y,negative_unate,31.659891,22.916321,31.659891,UNINIT,22.916321,UNINIT
g109380__4733/A1,g109380__4733/Y,negative_unate,32.812943,23.338575,32.812943,UNINIT,23.338575,UNINIT
g109380__4733/A1,g109380__4733/Y,negative_unate,27.103279,23.554214,27.103279,UNINIT,23.554214,UNINIT
g109380__4733/A2,g109380__4733/Y,negative_unate,34.166348,30.097162,34.166348,UNINIT,30.097162,UNINIT
g109380__4733/A2,g109380__4733/Y,negative_unate,32.995953,29.641163,32.995953,UNINIT,29.641163,UNINIT
g109380__4733/A2,g109380__4733/Y,negative_unate,34.166348,30.097162,34.166348,UNINIT,30.097162,UNINIT
g109380__4733/A2,g109380__4733/Y,negative_unate,28.834639,30.309896,28.834639,UNINIT,30.309896,UNINIT
g109380__4733/B1,g109380__4733/Y,negative_unate,31.712130,21.956875,31.712130,UNINIT,21.956875,UNINIT
g109380__4733/B1,g109380__4733/Y,negative_unate,30.568943,21.547129,30.568943,UNINIT,21.547129,UNINIT
g109380__4733/B1,g109380__4733/Y,negative_unate,31.712130,21.956875,31.712130,UNINIT,21.956875,UNINIT
g109380__4733/B1,g109380__4733/Y,negative_unate,24.413124,21.480917,24.413124,UNINIT,21.480917,UNINIT
g109380__4733/B2,g109380__4733/Y,negative_unate,30.868780,23.567375,30.868780,UNINIT,23.567375,UNINIT
g109380__4733/B2,g109380__4733/Y,negative_unate,29.731083,23.161961,29.731083,UNINIT,23.161961,UNINIT
g109380__4733/B2,g109380__4733/Y,negative_unate,30.868780,23.567375,30.868780,UNINIT,23.567375,UNINIT
g109380__4733/B2,g109380__4733/Y,negative_unate,23.666059,23.114243,23.666059,UNINIT,23.114243,UNINIT
