ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
mix1_data_reg_reg[36]/D,-670.271362,-661.713379,990.237488,989.539429,sub1_data_reg_reg[2]/CLK,588.710144,588.710144,0.000000,319.966156,990.237305,-670.271362,23,0.000000,mix1_data_reg_reg[36]/CLK,rise
mix1_data_reg_reg[74]/D,-639.764221,-641.743530,999.108643,1002.273804,sub1_data_reg_reg[2]/CLK,588.710144,588.710144,0.000000,359.344421,999.108582,-639.764221,23,0.000183,mix1_data_reg_reg[74]/CLK,rise
mix1_data_o_reg_reg[10]/D,-638.409302,-641.961060,999.205811,1002.357544,sub1_data_reg_reg[2]/CLK,588.710144,588.710144,0.000000,360.796509,999.205811,-638.409302,23,0.000183,mix1_data_o_reg_reg[10]/CLK,rise
mix1_data_o_reg_reg[4]/D,-630.796143,-631.755066,993.023499,992.238098,sub1_data_reg_reg[2]/CLK,588.710144,588.710144,0.000000,362.227356,993.023376,-630.796143,23,0.000183,mix1_data_o_reg_reg[4]/CLK,rise
mix1_data_reg_reg[100]/D,-628.958618,-631.504028,992.525696,992.241089,sub1_data_reg_reg[2]/CLK,588.710144,588.710144,0.000000,363.567047,992.525513,-628.958618,23,0.000183,mix1_data_reg_reg[100]/CLK,rise
mix1_data_reg_reg[46]/D,-626.462646,-619.499756,946.407288,947.318787,sub1_data_reg_reg[3]/CLK,544.868042,544.868042,0.000000,319.944641,946.407288,-626.462646,27,0.000000,mix1_data_reg_reg[46]/CLK,rise
mix1_data_reg_reg[106]/D,-624.886230,-631.428528,998.973206,1002.157227,sub1_data_reg_reg[2]/CLK,588.710144,588.710144,0.000000,374.087006,998.973145,-624.886230,23,0.000183,mix1_data_reg_reg[106]/CLK,rise
mix1_data_o_reg_reg[22]/D,-621.475952,-613.067383,940.748901,940.931824,sub1_data_reg_reg[3]/CLK,544.868042,544.868042,0.000000,319.272919,940.748840,-621.475952,27,0.000000,mix1_data_o_reg_reg[22]/CLK,rise
mix1_data_reg_reg[110]/D,-617.083008,-616.099060,944.755798,949.655579,sub1_data_reg_reg[3]/CLK,544.868042,544.868042,0.000000,327.672791,944.755798,-617.083008,27,0.000183,mix1_data_reg_reg[110]/CLK,rise
mix1_data_o_reg_reg[12]/D,-615.374878,-613.125366,952.238525,956.221619,sub1_data_reg_reg[5]/CLK,541.041931,541.041931,0.000000,336.863647,952.238525,-615.374878,27,0.000183,mix1_data_o_reg_reg[12]/CLK,rise
mix1_data_reg_reg[76]/D,-613.361572,-612.063599,952.478333,956.439514,sub1_data_reg_reg[5]/CLK,541.041931,541.041931,0.000000,339.11673,952.478333,-613.361572,27,0.000183,mix1_data_reg_reg[76]/CLK,rise
