"from_pin.full_name","to_pin.full_name",delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
ks1_key_reg_reg[45]/QN,g109380__4733/A1,0.080579,0.080518,0.080579,UNINIT,0.080518,UNINIT
ks1_key_reg_reg[45]/QN,g109695/A1,0.080579,0.080518,0.080579,UNINIT,0.080518,UNINIT
ks1_key_reg_reg[45]/QN,g111527/A,0.080579,0.080518,0.080579,UNINIT,0.080518,UNINIT
g109380__4733/Y,g108962__1666/B,0.081759,0.078162,0.081759,UNINIT,0.078162,UNINIT
g109380__4733/Y,g118514/B,0.081759,0.078162,0.081759,UNINIT,0.078162,UNINIT
g109380__4733/Y,g118190/B,0.081759,0.078162,0.081759,UNINIT,0.078162,UNINIT
g109695/Y,g109035__8246/A2,0.020764,0.020833,0.020764,UNINIT,0.020833,UNINIT
g111527/Y,g118191/A,0.028199,0.028285,0.028199,UNINIT,0.028285,UNINIT
g111527/Y,g109809/A,0.028199,0.028285,0.028199,UNINIT,0.028285,UNINIT
g108962__1666/Y,g107593__118188/A2,0.012442,0.012434,0.012442,UNINIT,0.012434,UNINIT
g118514/Y,g108640__1666/B,0.044822,0.044841,0.044822,UNINIT,0.044841,UNINIT
g118514/Y,FE_OFC1033_n_11693/A,0.044822,0.044841,0.044822,UNINIT,0.044841,UNINIT
g118190/Y,g118189/A2,0.038237,0.038244,0.038237,UNINIT,0.038244,UNINIT
g109035__8246/Y,addroundkey_data_reg_reg[45]/D,0.025532,0.025434,0.025532,UNINIT,0.025434,UNINIT
g118191/Y,g118189/B,0.050942,0.050919,0.050942,UNINIT,0.050919,UNINIT
g109809/Y,g109444/B,0.022695,0.022443,0.022695,UNINIT,0.022443,UNINIT
g107593__118188/Y,ks1_key_reg_reg[45]/D,0.025639,0.025594,0.025639,UNINIT,0.025594,UNINIT
g108640__1666/Y,g107594__5526/A2,0.022436,0.022423,0.022436,UNINIT,0.022423,UNINIT
FE_OFC1033_n_11693/Y,g113462/B,0.025198,0.025216,0.025198,UNINIT,0.025216,UNINIT
g118189/Y,g107593__118188/B,0.019352,0.019342,0.019352,UNINIT,0.019342,UNINIT
g109444/Y,g109035__8246/C,0.017217,0.017353,0.017217,UNINIT,0.017353,UNINIT
g107594__5526/Y,ks1_key_reg_reg[13]/D,0.028890,0.028841,0.028890,UNINIT,0.028841,UNINIT
g113462/Y,g69/A1,0.040587,0.040510,0.040587,UNINIT,0.040510,UNINIT
g69/Y,g107594__5526/B,0.036050,0.036033,0.036050,UNINIT,0.036033,UNINIT
ks1_key_reg_reg[13]/QN,g113850/A2,0.064887,0.064946,0.064887,UNINIT,0.064946,UNINIT
ks1_key_reg_reg[13]/QN,g109711/A1,0.064887,0.064946,0.064887,UNINIT,0.064946,UNINIT
ks1_key_reg_reg[13]/QN,g111526/A,0.064887,0.064946,0.064887,UNINIT,0.064946,UNINIT
g113850/Y,g118514/A,0.070786,0.070918,0.070786,UNINIT,0.070918,UNINIT
g113850/Y,g108639__112614/B2,0.070786,0.070918,0.070786,UNINIT,0.070918,UNINIT
g109711/Y,g108967__7098/A2,0.020971,0.021040,0.020971,UNINIT,0.021040,UNINIT
g111526/Y,g113465/A,0.032852,0.032950,0.032852,UNINIT,0.032950,UNINIT
g111526/Y,g109816/A,0.032852,0.032950,0.032852,UNINIT,0.032950,UNINIT
g108639__112614/Y,g112850/B,0.180903,0.180644,0.180903,UNINIT,0.180644,UNINIT
g108967__7098/Y,addroundkey_data_reg_reg[13]/D,0.018061,0.017986,0.018061,UNINIT,0.017986,UNINIT
g113465/Y,g69/B,0.041984,0.041965,0.041984,UNINIT,0.041965,UNINIT
g109816/Y,g109457/B,0.028664,0.028364,0.028664,UNINIT,0.028364,UNINIT
g112850/Y,g108430__112617/B,0.426930,0.441040,0.426930,UNINIT,0.441040,UNINIT
g112850/Y,g108430__112617_dup/B,0.426930,0.441040,0.426930,UNINIT,0.441040,UNINIT
g112850/Y,g108460__112610/A,0.426930,0.441040,0.426930,UNINIT,0.441040,UNINIT
g112850/Y,g108461__112615/B,0.426930,0.441040,0.426930,UNINIT,0.441040,UNINIT
g112850/Y,g113700/A,0.426930,0.441040,0.426930,UNINIT,0.441040,UNINIT
g109457/Y,g108967__7098/C,0.033771,0.034010,0.033771,UNINIT,0.034010,UNINIT
g108430__112617/Y,g223/A,0.027481,0.027499,0.027481,UNINIT,0.027499,UNINIT
g108430__112617_dup/Y,g120522/A2,0.025074,0.025060,0.025074,UNINIT,0.025060,UNINIT
g108460__112610/Y,g108442/A,0.058961,0.059033,0.058961,UNINIT,0.059033,UNINIT
g108460__112610/Y,g29/A1,0.058961,0.059033,0.058961,UNINIT,0.059033,UNINIT
g108461__112615/Y,g108443/A,0.077254,0.077428,0.077254,UNINIT,0.077428,UNINIT
g108461__112615/Y,g113427/A1,0.077254,0.077428,0.077254,UNINIT,0.077428,UNINIT
g113700/Y,g335/B,0.035373,0.035380,0.035373,UNINIT,0.035380,UNINIT
