full_name,max_slack
mix1_data_o_reg_reg[18]/RESETN,INFINITY
mix1_data_o_reg_reg[2]/RESETN,INFINITY
mix1_data_reg_reg[114]/RESETN,INFINITY
mix1_data_reg_reg[34]/RESETN,INFINITY
mix1_data_reg_reg[50]/RESETN,INFINITY
mix1_data_reg_reg[66]/RESETN,INFINITY
mix1_data_reg_reg[82]/RESETN,INFINITY
mix1_data_reg_reg[98]/RESETN,INFINITY
sub1_data_reg_reg[34]/RESETN,INFINITY
sub1_data_reg_reg[98]/RESETN,INFINITY
sub1_data_reg_reg[103]/RESETN,INFINITY
sub1_data_reg_reg[79]/RESETN,INFINITY
ks1_col_reg[2]/RESETN,INFINITY
ks1_col_reg[18]/RESETN,INFINITY
sub1_data_reg_reg[26]/RESETN,INFINITY
ks1_col_reg[7]/RESETN,INFINITY
ks1_col_reg[26]/RESETN,INFINITY
ks1_col_reg[23]/RESETN,INFINITY
sub1_data_reg_reg[39]/RESETN,INFINITY
sub1_data_reg_reg[42]/RESETN,INFINITY
sub1_data_reg_reg[47]/RESETN,INFINITY
sub1_data_reg_reg[111]/RESETN,INFINITY
sub1_data_reg_reg[106]/RESETN,INFINITY
sub1_data_reg_reg[10]/RESETN,INFINITY
sub1_data_reg_reg[74]/RESETN,INFINITY
sub1_data_reg_reg[15]/RESETN,INFINITY
sub1_data_reg_reg[90]/RESETN,INFINITY
sub1_data_reg_reg[95]/RESETN,INFINITY
sub1_data_reg_reg[122]/RESETN,INFINITY
sub1_data_reg_reg[127]/RESETN,INFINITY
ks1_col_reg[29]/RESETN,INFINITY
sub1_data_reg_reg[58]/RESETN,INFINITY
ks1_col_reg[31]/RESETN,INFINITY
sub1_data_reg_reg[82]/RESETN,INFINITY
sub1_data_reg_reg[66]/RESETN,INFINITY
sub1_data_reg_reg[50]/RESETN,INFINITY
sub1_data_reg_reg[18]/RESETN,INFINITY
ks1_col_reg[19]/RESETN,INFINITY
sub1_data_reg_reg[114]/RESETN,INFINITY
sub1_data_reg_reg[107]/RESETN,INFINITY
ks1_key_reg_reg[95]/RESETN,INFINITY
ks1_key_reg_reg[110]/RESETN,INFINITY
ks1_key_reg_reg[78]/RESETN,INFINITY
ks1_key_reg_reg[63]/RESETN,INFINITY
ks1_key_reg_reg[93]/RESETN,INFINITY
ks1_key_reg_reg[46]/RESETN,INFINITY
ks1_key_reg_reg[14]/RESETN,INFINITY
ks1_key_reg_reg[31]/RESETN,INFINITY
ks1_key_reg_reg[91]/RESETN,INFINITY
ks1_key_reg_reg[89]/RESETN,INFINITY
ks1_key_reg_reg[92]/RESETN,INFINITY
sbox1_ah_reg_reg[3]/RESETN,INFINITY
sbox1_alph_reg[2]/RESETN,INFINITY
mix1_data_o_reg_reg[8]/RESETN,INFINITY
mix1_data_reg_reg[72]/RESETN,INFINITY
mix1_data_reg_reg[104]/RESETN,INFINITY
mix1_data_reg_reg[40]/RESETN,INFINITY
mix1_data_o_reg_reg[24]/RESETN,INFINITY
mix1_data_o_reg_reg[7]/RESETN,INFINITY
mix1_data_reg_reg[103]/RESETN,INFINITY
mix1_data_reg_reg[56]/RESETN,INFINITY
mix1_data_reg_reg[120]/RESETN,INFINITY
mix1_data_reg_reg[88]/RESETN,INFINITY
mix1_data_reg_reg[39]/RESETN,INFINITY
mix1_data_reg_reg[71]/RESETN,INFINITY
mix1_data_o_reg_reg[3]/RESETN,INFINITY
mix1_data_reg_reg[67]/RESETN,INFINITY
mix1_data_reg_reg[99]/RESETN,INFINITY
mix1_data_reg_reg[35]/RESETN,INFINITY
mix1_data_o_reg_reg[10]/RESETN,INFINITY
mix1_data_reg_reg[106]/RESETN,INFINITY
mix1_data_reg_reg[74]/RESETN,INFINITY
