full_name,actual_rise_transition_max,actual_fall_transition_max,cached_ceff_max_rise,cached_ceff_max_fall,cached_ceff_min_rise,cached_ceff_min_fall,fanout_load,pin_capacitance_max,direction,max_rise_slack,max_fall_slack,max_rise_arrival,max_fall_arrival,actual_rise_transition_min,actual_fall_transition_min,min_rise_slack,min_fall_slack,min_rise_arrival,min_fall_arrival,x_coordinate,y_coordinate
ks1_key_reg_reg[45]/CLK,1384.999756,1385.892212,,,,,1.000000,0.493555,in,-1.400726,INFINITY,484.172943,484.443268,1133.776245,1127.992188,-56.756287,INFINITY,396.245361,394.236755,23562.000000,1197.000000
ks1_key_reg_reg[45]/QN,22.320101,24.274122,0.001757,0.001755,0.001611,0.001611,0.000000,0.000000,out,8.873169,-1.400696,550.321899,554.593201,21.366276,23.064932,-56.756287,-30.160736,458.396606,461.530914,22266.000000,1233.000000
g109380__4733/A1,22.321562,24.275465,,,,,1.000000,0.383733,in,8.873169,-1.400696,550.402466,554.673706,21.367533,23.066097,11.417419,18.395050,458.469727,461.604034,22860.000000,2943.000000
g109695/A1,22.321562,24.275465,,,,,1.000000,0.373286,in,176.497620,93.199524,550.402466,554.673706,21.367533,23.066097,-56.756287,24.482269,458.469727,461.604034,22680.000000,3483.000000
g111527/A,22.321562,24.275465,,,,,1.000000,0.275723,in,66.930542,125.337769,550.402466,554.673706,21.367533,23.066097,42.368805,-30.160736,458.469727,461.604034,22374.000000,2853.000000
g109380__4733/Y,57.805393,46.883980,0.002263,0.002168,0.001603,0.001602,0.000000,0.000000,out,-1.400696,8.873169,587.486633,573.956665,30.418968,28.911907,-451.768158,-456.950195,33.659584,33.060322,22644.000000,2943.000000
g109695/Y,15.995620,13.740293,0.000594,0.000596,0.000547,0.000548,0.000000,0.000000,out,176.497620,93.199524,575.031921,584.440125,10.491580,8.771321,-502.716553,-426.892334,35.808235,35.570160,22284.000000,3483.000000
g111527/Y,32.623943,25.468781,0.001025,0.001028,0.000841,0.000845,0.000000,0.000000,out,125.337769,66.930542,578.714294,570.793945,27.919075,21.904535,-30.160736,42.368805,483.011993,476.753876,22446.000000,2853.000000
g108962__1666/B,57.805973,46.884636,,,,,1.000000,0.348828,in,123.890686,143.599121,587.568420,574.034851,30.419500,28.912466,-392.998291,-456.950226,33.716393,33.117073,23850.000000,1737.000000
g118514/B,57.805973,46.884636,,,,,1.000000,0.981333,in,-1.400696,8.873169,587.568420,574.034851,30.419500,28.912466,-431.577606,-432.862946,33.716393,33.117073,22068.000000,2979.000000
g118190/B,57.805973,46.884636,,,,,1.000000,0.523909,in,120.334778,133.738647,587.568420,574.034851,30.419500,28.912466,-451.768158,-391.970154,33.716393,33.117073,22770.000000,2277.000000
g109035__8246/A2,15.995755,13.740451,,,,,1.000000,0.456447,in,176.497620,93.199524,575.052673,584.460938,10.491751,8.771526,-502.716553,-426.892334,35.827137,35.589088,22104.000000,4023.000000
g118191/A,32.624065,25.468937,,,,,1.000000,0.506717,in,125.337769,136.730530,578.742493,570.822205,27.919168,21.904655,150.526672,84.253693,483.034790,476.776794,22500.000000,2439.000000
g109809/A,32.624065,25.468937,,,,,1.000000,0.336683,in,138.058411,66.930542,578.742493,570.822205,27.919168,21.904655,-30.160767,42.368805,483.034790,476.776794,22410.000000,3393.000000
g108962__1666/Y,34.915241,39.130592,0.000632,0.000632,0.000572,0.000571,0.000000,0.000000,out,143.599121,123.890686,598.546936,613.084167,24.535259,19.910572,-456.950226,-392.998291,52.644592,52.481155,23922.000000,1773.000000
g118514/Y,35.805233,33.508129,0.001339,0.001339,0.000945,0.000945,0.000000,0.000000,out,-0.291016,-1.400696,624.623779,615.959961,24.514137,11.985665,-439.163818,-440.963989,47.980614,43.773899,22428.000000,2943.000000
g118190/Y,41.942081,34.387650,0.001135,0.001135,0.001011,0.001011,0.000000,0.000000,out,133.738647,120.334778,598.789429,611.065979,21.572075,20.932570,-391.970123,-451.768158,52.176903,51.303459,22698.000000,2313.000000
g109035__8246/Y,56.224812,55.805397,0.000726,0.000723,0.000661,0.000645,0.000000,0.000000,out,-69.003418,13.806335,764.965820,753.259644,18.297489,13.320685,-439.752869,-510.426147,37.011017,41.211006,22356.000000,4023.000000
g118191/Y,14.928885,14.493714,0.001436,0.001435,0.000902,0.000923,0.000000,0.000000,out,125.337769,136.730530,606.357971,599.336426,9.278779,9.523826,-102.361176,-173.948608,343.033600,332.972687,22608.000000,2403.000000
g109809/Y,52.422455,45.419407,0.000679,0.000672,0.000582,0.000582,0.000000,0.000000,out,66.930542,138.058411,593.537781,595.223572,24.346184,17.235559,-282.143738,-359.427460,172.492737,168.498932,22266.000000,3393.000000
g107593__118188/A2,34.915264,39.130611,,,,,1.000000,0.554164,in,143.599121,123.890686,598.559387,613.096619,24.535284,19.910603,-456.950226,-392.998291,52.655762,52.492298,23706.000000,1773.000000
g108640__1666/B,35.805515,33.508430,,,,,1.000000,0.526322,in,4.271729,12.179321,624.668579,616.004822,24.514336,11.986070,-439.163818,-383.657593,48.011677,43.804962,22464.000000,2313.000000
FE_OFC1033_n_11693/A,35.805515,33.508430,,,,,1.000000,0.643178,in,-0.291016,-1.400696,624.668579,616.004822,24.514336,11.986070,-377.003845,-440.963989,48.011677,43.804962,22086.000000,2853.000000
g118189/A2,41.942257,34.387863,,,,,1.000000,1.057770,in,133.738647,120.334778,598.827637,611.104248,21.572342,20.932846,-391.970154,-451.768158,52.210827,51.337379,22716.000000,1935.000000
addroundkey_data_reg_reg[45]/D,56.224869,55.805454,,,,,1.000000,0.593459,in,-69.003418,13.806335,764.991333,753.285095,18.297634,13.320874,-439.752869,-510.426147,37.034050,41.233398,22572.000000,4473.000000
g118189/B,14.929758,14.494613,,,,,1.000000,1.344920,in,125.337769,136.730530,606.408936,599.387329,9.279312,9.524370,-102.361176,-173.948608,343.064972,333.004822,22572.000000,1899.000000
g109444/B,52.422504,45.419464,,,,,1.000000,0.577970,in,66.930542,138.058411,593.560486,595.246033,24.346260,17.235666,-282.143738,-359.427490,172.511932,168.518143,22266.000000,3861.000000
g107593__118188/Y,22.547771,18.423231,0.000725,0.000724,0.000661,0.000643,0.000000,0.000000,out,-91.045044,-91.601807,753.343079,754.128601,9.903468,7.916893,-392.998291,-456.950226,62.971245,60.189125,23490.000000,1773.000000
g108640__1666/Y,11.459455,11.152207,0.000652,0.000651,0.000591,0.000590,0.000000,0.000000,out,4.271729,12.179321,650.781494,643.000854,8.517704,7.073101,-439.163818,-383.657593,71.124191,63.391541,22284.000000,2313.000000
FE_OFC1033_n_11693/Y,14.117574,12.388070,0.000682,0.000683,0.000455,0.000453,0.000000,0.000000,out,-1.400696,-0.291016,626.812744,633.097717,7.705905,9.046787,-440.963989,-377.003845,50.364143,54.601868,22014.000000,2853.000000
g118189/Y,17.777697,16.129601,0.000638,0.000637,0.000394,0.000379,0.000000,0.000000,out,-91.601807,-91.045044,745.518311,741.933289,5.650130,6.043684,-451.768158,-391.970154,59.471489,57.602139,22536.000000,1863.000000
g109444/Y,36.668617,30.588673,0.000563,0.000568,0.000473,0.000456,0.000000,0.000000,out,18.351013,-69.003418,733.611755,743.517517,17.966181,12.213881,-510.426086,-439.752899,30.591110,24.971752,22158.000000,3933.000000
ks1_key_reg_reg[45]/D,22.547918,18.423410,,,,,1.000000,0.621293,in,-91.045044,-91.601807,753.368713,754.154175,9.903741,7.917214,-392.998291,-456.950226,62.994431,60.211639,23382.000000,1233.000000
g107594__5526/A2,11.459675,11.152433,,,,,1.000000,0.554164,in,4.271729,12.179321,650.803955,643.023254,8.517944,7.073389,-439.163818,-383.657593,71.144371,63.411671,22212.000000,1863.000000
g113462/B,14.117800,12.388328,,,,,1.000000,0.523909,in,-1.400696,-0.291016,626.837952,633.122925,7.706066,9.046923,-440.963989,-377.003845,50.379833,54.617458,22122.000000,2439.000000
g107593__118188/B,17.777803,16.129717,,,,,1.000000,0.586307,in,-91.601807,-91.045044,745.537659,741.952637,5.650250,6.043788,-451.768188,-391.970154,59.483139,57.613308,23562.000000,1737.000000
g109035__8246/C,36.668659,30.588722,,,,,1.000000,0.499560,in,18.351013,-69.003418,733.628967,743.534851,17.966238,12.213958,-510.426117,-439.752869,30.605381,24.985464,22212.000000,4059.000000
g107594__5526/Y,18.185947,18.730024,0.000762,0.000760,0.000697,0.000680,0.000000,0.000000,out,-89.020447,-91.324707,754.079468,753.821899,10.264377,8.228137,-383.657593,-440.963989,72.320549,76.200928,22428.000000,1863.000000
g113462/Y,43.942856,36.149311,0.001269,0.001266,0.001040,0.000932,0.000000,0.000000,out,-0.291016,-1.400696,648.502808,641.819092,17.368576,15.168858,-377.003845,-440.963989,67.420815,61.414886,22050.000000,2403.000000
ks1_key_reg_reg[13]/D,18.186178,18.730247,,,,,1.000000,0.621293,in,-89.020447,-91.324707,754.108337,753.850769,10.264712,8.228533,-383.657593,-440.963989,72.346748,76.226395,23112.000000,1323.000000
