cell,type,class,sx,sy,px,py
FE_OFC19477_data_o_101,BUFx6f_ASAP7_75t_L,core,540,270,31680,14778
FE_OFC19475_data_o_26,BUFx6f_ASAP7_75t_L,core,540,270,21150,31518
FE_OFC19473_data_o_112,BUFx6f_ASAP7_75t_L,core,540,270,16290,31788
FE_OFC19471_data_o_87,BUFx6f_ASAP7_75t_L,core,540,270,21204,1278
FE_OFC19469_data_o_80,BUFx6f_ASAP7_75t_L,core,540,270,20502,31788
FE_OFC19467_data_o_56,BUFx6f_ASAP7_75t_L,core,540,270,2088,15858
FE_OFC19465_data_o_95,BUFx4f_ASAP7_75t_L,core,432,270,20016,1008
FE_OFC19463_data_o_31,BUFx4f_ASAP7_75t_L,core,432,270,20448,1008
FE_OFC19461_data_o_68,BUFx6f_ASAP7_75t_L,core,540,270,30006,17748
FE_OFC19459_data_o_40,BUFx6f_ASAP7_75t_L,core,540,270,16506,31248
FE_OFC19457_data_o_124,BUFx4f_ASAP7_75t_L,core,432,270,1548,15588
FE_OFC19455_data_o_44,BUFx4f_ASAP7_75t_L,core,432,270,12942,31248
FE_OFC1239_data_o_103,BUFx6f_ASAP7_75t_L,core,540,270,31680,11808
FE_OFC19453_data_o_3,BUFx6f_ASAP7_75t_L,core,540,270,31680,14238
FE_OFC19451_data_o_43,BUFx6f_ASAP7_75t_L,core,540,270,13644,1008
FE_OFC19449_data_o_55,BUFx6f_ASAP7_75t_L,core,540,270,31680,13158
FE_OFC19447_data_o_16,BUFx6f_ASAP7_75t_L,core,540,270,18288,30438
FE_OFC19445_data_o_105,BUFx6f_ASAP7_75t_L,core,540,270,1008,15858
FE_OFC19443_data_o_5,BUFx6f_ASAP7_75t_L,core,540,270,31680,18018
FE_OFC19441_data_o_52,BUFx6f_ASAP7_75t_L,core,540,270,19098,31248
FE_OFC19439_data_o_102,BUFx6f_ASAP7_75t_L,core,540,270,1008,18558
FE_OFC19437_data_o_127,BUFx6f_ASAP7_75t_L,core,540,270,16614,1548
FE_OFC19435_data_o_8,BUFx6f_ASAP7_75t_L,core,540,270,1548,18558
FE_OFC19433_data_o_24,BUFx6f_ASAP7_75t_L,core,540,270,13482,30978
