ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
sa22_reg[5]/SI,-375.071625,-359.939453,626.937134,625.239685,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,251.865509,626.937195,-375.071625,29,0.000000,sa22_reg[5]/CLK,rise
sa23_reg[6]/SI,-374.892517,-345.128326,619.642090,613.251587,sa10_reg[1]/CLK,340.099304,340.099304,0.000000,244.749588,619.642151,-374.892517,25,0.000000,sa23_reg[6]/CLK,rise
sa23_reg[1]/SI,-374.827393,-361.810333,621.971558,623.224304,sa10_reg[3]/CLK,339.608185,339.608185,0.000000,247.14415,621.971558,-374.827393,25,0.000000,sa23_reg[1]/CLK,rise
sa22_reg[6]/SI,-372.370270,-345.291748,626.932312,626.779053,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,254.562042,626.932373,-372.370270,29,0.000183,sa22_reg[6]/CLK,rise
sa22_reg[1]/SI,-371.300110,-343.369232,629.702271,630.323792,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,258.402161,629.702271,-371.300110,27,0.000183,sa22_reg[1]/CLK,rise
sa23_reg[2]/SI,-371.258514,-350.703308,623.869385,620.653748,sa10_reg[1]/CLK,340.099304,340.099304,0.000000,252.61087,623.869385,-371.258514,29,0.000000,sa23_reg[2]/CLK,rise
sa22_reg[4]/SI,-370.853149,-334.749054,634.394287,628.159912,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,263.541138,634.394348,-370.853149,33,0.000183,sa22_reg[4]/CLK,rise
sa22_reg[0]/SI,-367.388489,-331.550568,635.245239,629.614746,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,267.85675,635.245178,-367.388489,31,0.000183,sa22_reg[0]/CLK,rise
sa02_reg[7]/SI,-366.691071,-330.265137,636.072693,630.027588,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,269.381622,636.072693,-366.691071,31,0.000183,sa02_reg[7]/CLK,rise
sa21_reg[0]/D,-365.249298,-346.756836,632.771667,636.594482,sa12_reg[1]/CLK,343.809235,343.809235,0.000000,267.522369,632.771729,-365.249298,29,0.000183,sa21_reg[0]/CLK,rise
sa32_reg[3]/SI,-364.238739,-333.414795,635.209595,633.414490,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,270.970856,635.209595,-364.238739,31,0.000183,sa32_reg[3]/CLK,rise
sa02_reg[4]/SI,-362.709167,-333.730316,631.722900,633.054749,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,269.013733,631.722900,-362.709167,31,0.000183,sa02_reg[4]/CLK,rise
sa21_reg[5]/SI,-362.393890,-348.840851,634.626282,634.269958,sa12_reg[1]/CLK,343.809235,343.809235,0.000000,272.232391,634.626221,-362.393890,35,0.000183,sa21_reg[5]/CLK,rise
sa21_reg[2]/SI,-362.161224,-351.524902,633.873535,634.929810,sa01_reg[1]/CLK,344.653595,344.653595,0.000000,271.712311,633.873535,-362.161224,31,0.000183,sa21_reg[2]/CLK,rise
sa21_reg[6]/SI,-362.117157,-330.064758,632.187988,629.858704,sa01_reg[1]/CLK,344.653595,344.653595,0.000000,270.070831,632.187988,-362.117157,35,0.000183,sa21_reg[6]/CLK,rise
sa22_reg[7]/SI,-360.595001,-323.866669,628.764404,622.565918,sa31_reg[7]/CLK,344.693481,344.693481,0.000000,268.169403,628.764404,-360.595001,29,0.000183,sa22_reg[7]/CLK,rise
