"from_pin.full_name","to_pin.full_name",delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
sa02_reg[2]/Q,FE_OCPC32906_sa02_2/A,0.178039,0.178131,0.178039,UNINIT,0.178131,UNINIT
sa02_reg[2]/Q,g95663/A,0.178039,0.178131,0.178039,UNINIT,0.178131,UNINIT
sa02_reg[2]/Q,FE_OCPC32551_sa02_2/A,0.178039,0.178131,0.178039,UNINIT,0.178131,UNINIT
FE_OCPC32906_sa02_2/Y,g218562/B,0.055871,0.055892,0.055871,UNINIT,0.055892,UNINIT
g95663/Y,FE_OFC3380_n_8208/A,0.129435,0.129538,0.129435,UNINIT,0.129538,UNINIT
g95663/Y,g219314/B,0.129435,0.129538,0.129435,UNINIT,0.129538,UNINIT
g95663/Y,g218496/A,0.129435,0.129538,0.129435,UNINIT,0.129538,UNINIT
g95663/Y,g213320/A1,0.129435,0.129538,0.129435,UNINIT,0.129538,UNINIT
FE_OCPC32551_sa02_2/Y,g219231/A,0.083003,0.082721,0.083003,UNINIT,0.082721,UNINIT
FE_OCPC32551_sa02_2/Y,g213211__6260/B,0.083003,0.082721,0.083003,UNINIT,0.082721,UNINIT
FE_OCPC32551_sa02_2/Y,g213216__3680/D,0.083003,0.082721,0.083003,UNINIT,0.082721,UNINIT
FE_OCPC32551_sa02_2/Y,g218530/A,0.083003,0.082721,0.083003,UNINIT,0.082721,UNINIT
FE_OCPC32551_sa02_2/Y,g213227__4733/B,0.083003,0.082721,0.083003,UNINIT,0.082721,UNINIT
g218562/Y,g214959/B,0.238598,0.238326,0.238598,UNINIT,0.238326,UNINIT
g218562/Y,FE_OFC1340_n_2596/A,0.238598,0.238326,0.238598,UNINIT,0.238326,UNINIT
g218562/Y,g217253/B,0.238598,0.238326,0.238598,UNINIT,0.238326,UNINIT
g218562/Y,g213011__5477/B2,0.238598,0.238326,0.238598,UNINIT,0.238326,UNINIT
FE_OFC3380_n_8208/Y,g219338/B,0.258257,0.258204,0.258257,UNINIT,0.258204,UNINIT
FE_OFC3380_n_8208/Y,g216498/B,0.258257,0.258204,0.258257,UNINIT,0.258204,UNINIT
FE_OFC3380_n_8208/Y,g215579/C,0.258257,0.258204,0.258257,UNINIT,0.258204,UNINIT
FE_OFC3380_n_8208/Y,g213499/C,0.258257,0.258204,0.258257,UNINIT,0.258204,UNINIT
g219314/Y,g217303/B,0.073651,0.073635,0.073651,UNINIT,0.073635,UNINIT
g219314/Y,g214774/C,0.073651,0.073635,0.073651,UNINIT,0.073635,UNINIT
g219314/Y,FE_OFC3256_n_2225/A,0.073651,0.073635,0.073651,UNINIT,0.073635,UNINIT
g218496/Y,FE_OFC562_n_2708/A,0.078106,0.078105,0.078106,UNINIT,0.078105,UNINIT
g218496/Y,g213305/C,0.078106,0.078105,0.078106,UNINIT,0.078105,UNINIT
g218496/Y,g213276__5122/C,0.078106,0.078105,0.078106,UNINIT,0.078105,UNINIT
g213320/Y,g213008__1666/A1,0.046010,0.046146,0.046010,UNINIT,0.046146,UNINIT
g219231/Y,g212975__6161/A2,0.121880,0.122019,0.121880,UNINIT,0.122019,UNINIT
g219231/Y,g215340/B,0.121880,0.122019,0.121880,UNINIT,0.122019,UNINIT
g219231/Y,g213060__9315/B1,0.121880,0.122019,0.121880,UNINIT,0.122019,UNINIT
g213211__6260/Y,g212934__8246/A2,0.021983,0.022094,0.021983,UNINIT,0.022094,UNINIT
g213216__3680/Y,g212750__5526/A2,0.018246,0.018268,0.018246,UNINIT,0.018268,UNINIT
g218530/Y,FE_OFC1369_n_2653/A,0.037529,0.037568,0.037529,UNINIT,0.037568,UNINIT
g213227__4733/Y,g213008__1666/A2,0.043336,0.043314,0.043336,UNINIT,0.043314,UNINIT
g214959/Y,g213299/B3,0.019299,0.019395,0.019299,UNINIT,0.019395,UNINIT
FE_OFC1340_n_2596/Y,g213054__6131/A3,0.113554,0.114630,0.113554,UNINIT,0.114630,UNINIT
FE_OFC1340_n_2596/Y,g213837/C,0.334232,0.335800,0.334232,UNINIT,0.335800,UNINIT
FE_OFC1340_n_2596/Y,g217166/B,0.158919,0.160268,0.158919,UNINIT,0.160268,UNINIT
FE_OFC1340_n_2596/Y,g213282__7482/B1,0.407503,0.408780,0.407503,UNINIT,0.408780,UNINIT
FE_OFC1340_n_2596/Y,g213033__9945/A1,0.285533,0.286931,0.285533,UNINIT,0.286931,UNINIT
FE_OFC1340_n_2596/Y,g213229__9315/A1,0.219756,0.221331,0.219756,UNINIT,0.221331,UNINIT
FE_OFC1340_n_2596/Y,g213525/C,0.384649,0.386040,0.384649,UNINIT,0.386040,UNINIT
g217253/Y,FE_OFC1734_n_3440/A,0.097072,0.097307,0.097072,UNINIT,0.097307,UNINIT
g217253/Y,g213469/D,0.097072,0.097307,0.097072,UNINIT,0.097307,UNINIT
g217253/Y,g213755/E,0.097072,0.097307,0.097072,UNINIT,0.097307,UNINIT
g213011__5477/Y,g212805__4733/A1,0.047197,0.047334,0.047197,UNINIT,0.047334,UNINIT
g219338/Y,g213835/C,0.984173,0.984173,0.984173,UNINIT,0.984173,UNINIT
g219338/Y,FE_OFC1430_n_2180/A,0.984173,0.984173,0.984173,UNINIT,0.984173,UNINIT
g219338/Y,g213024__8246/B2,0.984173,0.984173,0.984173,UNINIT,0.984173,UNINIT
g219338/Y,g216453/B,0.984173,0.984173,0.984173,UNINIT,0.984173,UNINIT
g219338/Y,g213344/B,0.984173,0.984173,0.984173,UNINIT,0.984173,UNINIT
g219338/Y,g213079__5122/B2,0.984173,0.984173,0.984173,UNINIT,0.984173,UNINIT
g216498/Y,g214063/B,0.044305,0.044531,0.044305,UNINIT,0.044531,UNINIT
g215579/Y,g214082/C,0.028840,0.028741,0.028840,UNINIT,0.028741,UNINIT
g213499/Y,g212934__8246/A1,0.030422,0.030640,0.030422,UNINIT,0.030640,UNINIT
g217303/Y,g213956/B1,1.303329,1.303329,1.303329,UNINIT,1.303329,UNINIT
g217303/Y,g216126/B,1.303329,1.303329,1.303329,UNINIT,1.303329,UNINIT
g217303/Y,g216136/B,1.303329,1.303329,1.303329,UNINIT,1.303329,UNINIT
g217303/Y,g216137/B,1.303329,1.303329,1.303329,UNINIT,1.303329,UNINIT
g217303/Y,FE_OCPC32562_n_1740/A,1.303329,1.303329,1.303329,UNINIT,1.303329,UNINIT
g217303/Y,g214251/A2,1.303329,1.303329,1.303329,UNINIT,1.303329,UNINIT
g217303/Y,g215449/B,1.303329,1.303329,1.303329,UNINIT,1.303329,UNINIT
g214774/Y,g213741/C,0.040046,0.039867,0.040046,UNINIT,0.039867,UNINIT
FE_OFC3256_n_2225/Y,g217171/B,0.938068,0.938068,0.938068,UNINIT,0.938068,UNINIT
FE_OFC3256_n_2225/Y,FE_OFC3257_n_2225/A,0.938068,0.938068,0.938068,UNINIT,0.938068,UNINIT
FE_OFC3256_n_2225/Y,g213024__8246/A2,0.938068,0.938068,0.938068,UNINIT,0.938068,UNINIT
FE_OFC3256_n_2225/Y,g214326/C,0.938068,0.938068,0.938068,UNINIT,0.938068,UNINIT
FE_OFC3256_n_2225/Y,g213244__3680/A1,0.938068,0.938068,0.938068,UNINIT,0.938068,UNINIT
FE_OFC3256_n_2225/Y,g213011__5477/A2,0.938068,0.938068,0.938068,UNINIT,0.938068,UNINIT
FE_OFC562_n_2708/Y,g213139__1881/C,0.027253,0.027083,0.027253,UNINIT,0.027083,UNINIT
g213305/Y,g212983__5477/B1,0.056663,0.056954,0.056663,UNINIT,0.056954,UNINIT
g213276__5122/Y,g212803__5115/A1,0.036545,0.036642,0.036545,UNINIT,0.036642,UNINIT
g213008__1666/Y,g212910__9315/A2,0.027793,0.027750,0.027793,UNINIT,0.027750,UNINIT
g212975__6161/Y,g212821__6783/B,0.085015,0.084981,0.085015,UNINIT,0.084981,UNINIT
g215340/Y,g213376/D,0.031559,0.031520,0.031559,UNINIT,0.031520,UNINIT
g213060__9315/Y,g212822__3680/B,0.049465,0.049443,0.049465,UNINIT,0.049443,UNINIT
g212934__8246/Y,g212706__1881/A2,0.045188,0.045328,0.045188,UNINIT,0.045328,UNINIT
g212750__5526/Y,FE_OFC3008_n_169/A,0.514327,0.514618,0.514327,UNINIT,0.514618,UNINIT
g212750__5526/Y,g110451/B2,0.514327,0.514618,0.514327,UNINIT,0.514618,UNINIT
g212750__5526/Y,FE_OFC3009_n_169/A,0.514327,0.514618,0.514327,UNINIT,0.514618,UNINIT
FE_OFC1369_n_2653/Y,g213054__6131/B1,0.502010,0.468061,0.502010,UNINIT,0.468061,UNINIT
FE_OFC1369_n_2653/Y,g214169/C,0.376644,0.355013,0.376644,UNINIT,0.355013,UNINIT
FE_OFC1369_n_2653/Y,FE_OFC1370_n_2653/A,0.632158,0.610511,0.632158,UNINIT,0.610511,UNINIT
FE_OFC1369_n_2653/Y,g213282__7482/A1,0.635093,0.613518,0.635093,UNINIT,0.613518,UNINIT
FE_OFC1369_n_2653/Y,g213229__9315/B1,0.628446,0.606710,0.628446,UNINIT,0.606710,UNINIT
FE_OFC1369_n_2653/Y,FE_OFC1371_n_2653/A,0.236456,0.219967,0.236456,UNINIT,0.219967,UNINIT
g213299/Y,g213101__5526/B,0.098835,0.099103,0.098835,UNINIT,0.099103,UNINIT
g213054__6131/Y,g212750__5526/A1,0.035949,0.036037,0.035949,UNINIT,0.036037,UNINIT
g213837/Y,g213079__5122/C,0.039463,0.039594,0.039463,UNINIT,0.039594,UNINIT
g217166/Y,g213206__7410/A1,0.172821,0.172922,0.172821,UNINIT,0.172922,UNINIT
g217166/Y,g213191__1705/A2,0.172821,0.172922,0.172821,UNINIT,0.172922,UNINIT
g217166/Y,g213060__9315/A2,0.172821,0.172922,0.172821,UNINIT,0.172922,UNINIT
g213282__7482/Y,g213024__8246/C,0.061439,0.061630,0.061439,UNINIT,0.061630,UNINIT
g213033__9945/Y,g212750__5526/B1,0.031539,0.031562,0.031539,UNINIT,0.031562,UNINIT
g213229__9315/Y,g212961__5526/A2,0.080223,0.079895,0.080223,UNINIT,0.079895,UNINIT
g213525/Y,g213190__2802/C,0.109539,0.109900,0.109539,UNINIT,0.109900,UNINIT
FE_OFC1734_n_3440/Y,g213833/C,0.094855,0.094834,0.094855,UNINIT,0.094834,UNINIT
FE_OFC1734_n_3440/Y,g212803__5115/B2,0.094855,0.094834,0.094855,UNINIT,0.094834,UNINIT
FE_OFC1734_n_3440/Y,g212983__5477/A2,0.094855,0.094834,0.094855,UNINIT,0.094834,UNINIT
g213469/Y,g212706__1881/B,0.076426,0.076795,0.076426,UNINIT,0.076795,UNINIT
g213755/Y,g212961__5526/C,0.018349,0.018358,0.018349,UNINIT,0.018358,UNINIT
g212805__4733/Y,g212706__1881/C,0.153795,0.153756,0.153795,UNINIT,0.153756,UNINIT
g213835/Y,g212934__8246/C,0.074086,0.074056,0.074086,UNINIT,0.074056,UNINIT
FE_OFC1430_n_2180/Y,g213230__9945/A1,0.117494,0.117531,0.117494,UNINIT,0.117531,UNINIT
FE_OFC1430_n_2180/Y,g213317/B2,0.117494,0.117531,0.117494,UNINIT,0.117531,UNINIT
FE_OFC1430_n_2180/Y,g213555/B,0.117494,0.117531,0.117494,UNINIT,0.117531,UNINIT
FE_OFC1430_n_2180/Y,g214697/C,0.117494,0.117531,0.117494,UNINIT,0.117531,UNINIT
g213024__8246/Y,g212917__5477/A2,0.081379,0.081392,0.081379,UNINIT,0.081392,UNINIT
g216453/Y,g214719/B,0.012325,0.012362,0.012325,UNINIT,0.012362,UNINIT
g213344/Y,g213033__9945/C,0.018984,0.018864,0.018984,UNINIT,0.018864,UNINIT
