sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std
ex_stage_i_lsu_i_i_store_unit_store_buffer_i_commit_read_pointer_q_reg[2]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_mult_valid_q_reg/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_valid_dirty_sram_macro_mem[0].i_ram/clk,0.0,0.000000,0.000000
csr_regfile_i_debug_mode_q_reg/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_vaddr_q_reg[38]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operator_q_reg[6]/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_i_store_unit_store_buffer_i_commit_read_pointer_q_reg[0]/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_i_store_unit_store_buffer_i_commit_read_pointer_q_reg[1]/CLK,0.0,0.000000,0.000000
csr_regfile_i_en_ld_st_translation_q_reg/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][rs2][4]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_lsu_valid_q_reg/CLK,0.0,0.000000,0.000000
ex_stage_i_csr_buffer_i_csr_reg_q_reg[csr_address][3]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_vaddr_q_reg[36]/CLK,0.0,0.000000,0.000000
i_frontend_i_fetch_fifo_i_fifo_v3_read_pointer_q_reg[1]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_scoreboard_commit_pointer_q_reg[0]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_scoreboard_commit_pointer_q_reg[1]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_alu_valid_q_reg/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_pc_o_reg[1]/CLK,0.0,0.000000,0.000000
i_frontend_icache_vaddr_q_reg[2]/CLK,0.0,0.000000,0.000000
i_frontend_icache_data_q_reg[4]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_pc_o_reg[5]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][rs2][1]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operator_q_reg[4]/CLK,0.0,0.000000,0.000000
i_frontend_icache_data_q_reg[0]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][rs1][1]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_scoreboard_mem_q_reg[2][sbe][rd][2]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_pc_o_reg[2]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_i_miss_handler_state_q_reg[0]/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg[0][op][1]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_scoreboard_mem_q_reg[6][sbe][rd][2]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_csr_valid_q_reg/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_branch_valid_q_reg/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_master_ports[0].i_cache_ctrl_state_q_reg[1]/CLK,0.0,0.000000,0.000000
i_frontend_i_fetch_fifo_i_fifo_v3_status_cnt_q_reg[0]/CLK,0.0,0.000000,0.000000
ex_stage_i_i_mult_i_div_rem_sel_q_reg/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_lsu_bypass_i_status_cnt_q_reg[0]/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_i_store_unit_trans_id_q_reg[0]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_vaddr_q_reg[18]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_scoreboard_issue_cnt_q_reg[0]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_master_ports[2].i_cache_ctrl_state_q_reg[1]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][rs2][3]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_state_q_reg[2]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][rs2][0]/CLK,0.0,0.000000,0.000000
i_frontend_icache_vaddr_q_reg[4]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_scoreboard_commit_pointer_q_reg[2]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_i_miss_handler_i_bypass_axi_adapter_state_q_reg[3]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operand_a_q_reg[0]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_state_q_reg[3]/CLK,0.0,0.000000,0.000000
i_frontend_icache_vaddr_q_reg[6]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operator_q_reg[3]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_i_miss_handler_i_miss_axi_adapter_state_q_reg[1]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_valid_dirty_sram_macro_mem[1].i_ram/clk,0.0,0.000000,0.000000
i_frontend_icache_valid_q_reg/CLK,0.0,0.000000,0.000000
i_frontend_icache_data_q_reg[28]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_i_miss_handler_state_q_reg[3]/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_i_store_unit_i_amo_buffer_i_amo_fifo_i_fifo_v3_mem_q_reg[0][op][0]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_i_miss_handler_reservation_q_reg[address][36]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_state_q_reg[0]/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_i_mmu_i_ptw_data_rdata_q_reg[1]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operand_b_q_reg[1]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_state_q_reg[1]/CLK,0.0,0.000000,0.000000
ex_stage_i_lsu_i_lsu_bypass_i_status_cnt_q_reg[1]/CLK,0.0,0.000000,0.000000
i_frontend_icache_data_q_reg[16]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_scoreboard_issue_cnt_q_reg[1]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_i_miss_handler_state_q_reg[2]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_fifo_w_channel_read_pointer_q_reg[0]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][34]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][36]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][32]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][54]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][35]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][45]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][46]/CLK,0.0,0.000000,0.000000
i_frontend_icache_data_q_reg[1]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][fu][2]/CLK,0.0,0.000000,0.000000
id_stage_i_issue_q_reg[sbe][pc][55]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operand_b_q_reg[10]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_vaddr_q_reg[3]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_vaddr_q_reg[9]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_vaddr_q_reg[11]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operand_b_q_reg[6]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_nbdcache_i_miss_handler_i_bypass_axi_adapter_state_q_reg[1]/CLK,0.0,0.000000,0.000000
issue_stage_i_i_issue_read_operands_operand_b_q_reg[8]/CLK,0.0,0.000000,0.000000
i_cache_subsystem_i_icache_vaddr_q_reg[10]/CLK,0.0,0.000000,0.000000
