full_name,"lib_cell.full_name","lib_cell.function_id"
FE_OFC402_stage1_round_key_o_8,asap7sc7p5t_INVBUF_LVT_TT_nldm_211120/INVx1_ASAP7_75t_L,Ia1.0
FE_OFC401_stage1_round_key_o_20,asap7sc7p5t_INVBUF_LVT_TT_nldm_211120/INVx1_ASAP7_75t_L,Ia1.0
FE_OFC400_stage1_iter_2,asap7sc7p5t_INVBUF_LVT_TT_nldm_211120/INVx2_ASAP7_75t_L,Ia1.0
FE_OFC399_stage1_iter_2,asap7sc7p5t_INVBUF_LVT_TT_nldm_211120/HB1xp67_ASAP7_75t_L,a1.0
FE_OCPC284_stage1_iter_0,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/INVx2_ASAP7_75t_SL,Ia1.0
FE_OCPC450_stage1_iter_1,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/BUFx2_ASAP7_75t_SL,a1.0
FE_OCPC400_stage1_iter_3,asap7sc7p5t_INVBUF_LVT_TT_nldm_211120/HB1xp67_ASAP7_75t_L,a1.0
FE_OFC321_data_o_43,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/HB1xp67_ASAP7_75t_SL,a1.0
FE_OFC319_data_o_45,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/HB1xp67_ASAP7_75t_SL,a1.0
FE_OFC317_data_o_61,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/HB1xp67_ASAP7_75t_SL,a1.0
FE_OFC315_data_o_48,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/HB1xp67_ASAP7_75t_SL,a1.0
FE_OFC313_data_o_11,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/HB1xp67_ASAP7_75t_SL,a1.0
FE_OFC311_ready_o,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/HB1xp67_ASAP7_75t_SL,a1.0
FE_OFC309_data_o_13,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/BUFx2_ASAP7_75t_SL,a1.0
FE_OFC307_data_o_8,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/BUFx2_ASAP7_75t_SL,a1.0
FE_OFC305_data_o_14,asap7sc7p5t_INVBUF_LVT_TT_nldm_211120/BUFx4f_ASAP7_75t_L,a1.0
FE_OFC303_data_o_29,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/BUFx2_ASAP7_75t_SL,a1.0
FE_OFC301_data_o_34,asap7sc7p5t_INVBUF_SLVT_TT_nldm_211120/BUFx2_ASAP7_75t_SL,a1.0
