"from_pin.full_name","to_pin.full_name",sense,delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
stage1_iter_reg[3]/CLK,stage1_iter_reg[3]/QN,rising_edge,56.254139,55.114548,56.254139,UNINIT,55.114548,UNINIT
FE_OCPC400_stage1_iter_3/A,FE_OCPC400_stage1_iter_3/Y,positive_unate,22.679039,24.220264,22.679039,UNINIT,24.220264,UNINIT
FE_OFC190_stage1_iter_3/A,FE_OFC190_stage1_iter_3/Y,negative_unate,10.155265,7.262427,10.155265,UNINIT,7.262427,UNINIT
FE_OFC191_stage1_iter_3/A,FE_OFC191_stage1_iter_3/Y,negative_unate,19.208199,15.931068,19.208199,UNINIT,15.931068,UNINIT
g42558/A,g42558/Y,negative_unate,12.974050,6.760447,12.974050,UNINIT,6.760447,UNINIT
g42558/B,g42558/Y,negative_unate,11.740663,8.766158,11.740663,UNINIT,8.766158,UNINIT
g42352/A,g42352/Y,positive_unate,25.316566,21.860355,25.316566,UNINIT,21.860355,UNINIT
g42352/A,g42352/Y,negative_unate,16.917776,13.378756,16.917776,UNINIT,13.378756,UNINIT
g42352/B,g42352/Y,positive_unate,31.176615,27.386789,31.176615,UNINIT,27.386789,UNINIT
g42352/B,g42352/Y,negative_unate,21.071411,21.799906,21.071411,UNINIT,21.799906,UNINIT
g44390/A,g44390/Y,negative_unate,10.475392,11.605606,10.475392,UNINIT,11.605606,UNINIT
g44390/B,g44390/Y,negative_unate,9.537572,9.282602,9.537572,UNINIT,9.282602,UNINIT
g8/A,g8/Y,negative_unate,11.333247,8.603237,11.333247,UNINIT,8.603237,UNINIT
g8/B,g8/Y,negative_unate,11.182920,9.986765,11.182920,UNINIT,9.986765,UNINIT
g48158/A,g48158/Y,negative_unate,10.712167,14.996456,10.712167,UNINIT,14.996456,UNINIT
g48158/B,g48158/Y,negative_unate,12.767688,16.257679,12.767688,UNINIT,16.257679,UNINIT
g48158/C,g48158/Y,negative_unate,12.834278,16.246483,12.834278,UNINIT,16.246483,UNINIT
g48158/D,g48158/Y,negative_unate,14.058724,16.147575,14.058724,UNINIT,16.147575,UNINIT
g36/A,g36/Y,positive_unate,17.824963,19.468037,17.824963,UNINIT,19.468037,UNINIT
g36/B,g36/Y,positive_unate,18.978718,18.708733,18.978718,UNINIT,18.708733,UNINIT
g50518_dup/A,g50518_dup/Y,negative_unate,12.773115,16.052931,12.773115,UNINIT,16.052931,UNINIT
g50518_dup/B,g50518_dup/Y,negative_unate,10.760673,14.265322,10.760673,UNINIT,14.265322,UNINIT
g50518_dup/C,g50518_dup/Y,negative_unate,14.639679,15.429933,14.639679,UNINIT,15.429933,UNINIT
g50518_dup/D,g50518_dup/Y,negative_unate,12.404419,14.850080,12.404419,UNINIT,14.850080,UNINIT
g50518/A,g50518/Y,negative_unate,12.896932,16.234632,12.896932,UNINIT,16.234632,UNINIT
g50518/B,g50518/Y,negative_unate,10.846843,14.417510,10.846843,UNINIT,14.417510,UNINIT
g50518/C,g50518/Y,negative_unate,14.746514,15.590125,14.746514,UNINIT,15.590125,UNINIT
g50518/D,g50518/Y,negative_unate,12.497945,14.999804,12.497945,UNINIT,14.999804,UNINIT
g42520/A,g42520/Y,positive_unate,17.717716,18.431450,17.717716,UNINIT,18.431450,UNINIT
g42520/B,g42520/Y,positive_unate,17.057957,19.161495,17.057957,UNINIT,19.161495,UNINIT
g44389/A,g44389/Y,negative_unate,12.503564,6.388848,12.503564,UNINIT,6.388848,UNINIT
g44389/B,g44389/Y,negative_unate,9.874359,7.130216,9.874359,UNINIT,7.130216,UNINIT
g51946/A,g51946/Y,positive_unate,25.660406,28.270241,25.660406,UNINIT,28.270241,UNINIT
g51946/B,g51946/Y,positive_unate,27.171501,28.399609,27.171501,UNINIT,28.399609,UNINIT
g44388/A,g44388/Y,positive_unate,23.874271,22.370422,23.874271,UNINIT,22.370422,UNINIT
g44388/B,g44388/Y,positive_unate,25.551088,28.977615,25.551088,UNINIT,28.977615,UNINIT
g44388/C,g44388/Y,positive_unate,24.684702,25.815178,24.684702,UNINIT,25.815178,UNINIT
g47294/A1,g47294/Y,negative_unate,16.237864,13.411431,16.237864,UNINIT,13.411431,UNINIT
g47294/A2,g47294/Y,negative_unate,17.581684,13.601742,17.581684,UNINIT,13.601742,UNINIT
g47294/B,g47294/Y,negative_unate,17.529078,13.197329,17.529078,UNINIT,13.197329,UNINIT
g47294/B,g47294/Y,negative_unate,17.529078,13.197329,17.529078,UNINIT,13.197329,UNINIT
g47294/B,g47294/Y,negative_unate,16.369997,12.765470,16.369997,UNINIT,12.765470,UNINIT
g47294/B,g47294/Y,negative_unate,13.286888,12.739528,13.286888,UNINIT,12.739528,UNINIT
g42541/A,g42541/Y,negative_unate,4.848240,3.771775,4.848240,UNINIT,3.771775,UNINIT
g50583/A,g50583/Y,positive_unate,15.534770,17.280487,15.534770,UNINIT,17.280487,UNINIT
g50583/B,g50583/Y,positive_unate,15.568057,15.253257,15.568057,UNINIT,15.253257,UNINIT
FE_OCPC266_n_12937/A,FE_OCPC266_n_12937/Y,positive_unate,16.370913,19.272894,16.370913,UNINIT,19.272894,UNINIT
FE_OFC174_n_12937/A,FE_OFC174_n_12937/Y,positive_unate,16.923052,19.740192,16.923052,UNINIT,19.740192,UNINIT
g43266/A1,g43266/Y,negative_unate,8.874011,8.128840,8.874011,UNINIT,8.128840,UNINIT
g43266/A2,g43266/Y,negative_unate,10.654992,7.667332,10.654992,UNINIT,7.667332,UNINIT
g43266/B,g43266/Y,negative_unate,10.493949,7.213221,10.493949,UNINIT,7.213221,UNINIT
g43266/B,g43266/Y,negative_unate,10.493949,7.752296,10.493949,UNINIT,7.752296,UNINIT
g43266/B,g43266/Y,negative_unate,9.431277,7.269139,9.431277,UNINIT,7.269139,UNINIT
g43266/B,g43266/Y,negative_unate,7.887643,7.213221,7.887643,UNINIT,7.213221,UNINIT
g42506/A,g42506/Y,negative_unate,9.124959,6.596004,9.124959,UNINIT,6.596004,UNINIT
g42506/B,g42506/Y,negative_unate,7.242371,6.589982,7.242371,UNINIT,6.589982,UNINIT
g44392/A,g44392/Y,negative_unate,6.361228,5.489017,6.361228,UNINIT,5.489017,UNINIT
FE_DBTC18_n_14989/A,FE_DBTC18_n_14989/Y,negative_unate,12.018685,9.720053,12.018685,UNINIT,9.720053,UNINIT
