ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
rd1_R_o_reg[10]/D,-123.909515,-123.258255,364.397430,374.525543,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,240.487915,364.397461,-123.909515,37,0.000000,rd1_R_o_reg[10]/CLK,rise
rd1_R_o_reg[0]/D,-123.819839,-123.596893,364.343811,374.826294,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,240.523972,364.343811,-123.819839,37,0.000000,rd1_R_o_reg[0]/CLK,rise
rd1_R_o_reg[20]/D,-121.122192,-113.507996,364.497864,367.701874,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,243.375671,364.497864,-121.122192,39,0.000000,rd1_R_o_reg[20]/CLK,rise
rd1_R_o_reg[27]/D,-120.986725,-117.092636,362.004059,368.657776,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,241.017334,362.004089,-120.986725,33,0.000000,rd1_R_o_reg[27]/CLK,rise
rd1_R_o_reg[12]/D,-120.599731,-115.375626,362.141632,366.986023,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,241.541901,362.141602,-120.599731,39,0.000000,rd1_R_o_reg[12]/CLK,rise
rd1_R_o_reg[17]/D,-119.796814,-116.215820,362.649628,369.266541,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,242.852814,362.649597,-119.796814,37,0.000000,rd1_R_o_reg[17]/CLK,rise
rd1_R_o_reg[28]/D,-119.014862,-110.812424,361.329987,364.030029,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,242.315125,361.329895,-119.014862,39,0.000000,rd1_R_o_reg[28]/CLK,rise
rd1_R_o_reg[3]/D,-117.351471,-117.602295,362.128174,372.214691,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,244.776703,362.128113,-117.351471,39,0.000000,rd1_R_o_reg[3]/CLK,rise
rd1_R_o_reg[13]/D,-116.853073,-116.077194,360.455963,370.158417,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,243.60289,360.455994,-116.853073,37,0.000000,rd1_R_o_reg[13]/CLK,rise
rd1_R_o_reg[5]/D,-116.002625,-113.252716,359.986206,366.945587,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,243.983582,359.986206,-116.002625,33,0.000000,rd1_R_o_reg[5]/CLK,rise
rd1_R_o_reg[6]/D,-113.599457,-109.559631,360.842712,367.233856,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,247.243256,360.842712,-113.599457,37,0.000000,rd1_R_o_reg[6]/CLK,rise
rd1_R_o_reg[11]/D,-113.549820,-106.623138,361.335602,364.848694,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,247.785782,361.335571,-113.549820,35,0.000000,rd1_R_o_reg[11]/CLK,rise
rd1_R_o_reg[29]/D,-113.459442,-110.853577,362.345459,370.203339,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,248.886017,362.345398,-113.459442,39,0.000000,rd1_R_o_reg[29]/CLK,rise
rd1_R_o_reg[31]/D,-113.271179,-109.042786,360.339813,366.844177,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,247.068634,360.339722,-113.271179,35,0.000000,rd1_R_o_reg[31]/CLK,rise
rd1_R_o_reg[7]/D,-112.853195,-103.470795,362.118286,363.238770,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,249.265091,362.118164,-112.853195,35,0.000000,rd1_R_o_reg[7]/CLK,rise
rd1_R_o_reg[21]/D,-112.559982,-109.138885,360.644440,367.324554,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,248.084457,360.644409,-112.559982,33,0.000000,rd1_R_o_reg[21]/CLK,rise
rd1_R_o_reg[18]/D,-103.434723,-94.663086,364.512726,368.025421,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,261.077972,364.512695,-103.434723,37,0.000244,rd1_R_o_reg[18]/CLK,rise
rd1_R_o_reg[26]/D,-99.477905,-90.962891,362.107086,365.749634,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,262.629181,362.107056,-99.477905,35,0.000244,rd1_R_o_reg[26]/CLK,rise
rd1_R_o_reg[1]/D,-99.253479,-99.255005,361.934265,373.415314,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,262.680786,361.934204,-99.253479,35,0.000244,rd1_R_o_reg[1]/CLK,rise
rd1_R_o_reg[24]/D,-98.596283,-96.326843,362.401642,371.555817,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,263.805359,362.401550,-98.596283,35,0.000244,rd1_R_o_reg[24]/CLK,rise
rd1_R_o_reg[15]/D,-98.442810,-91.494537,361.064636,366.125671,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,262.621826,361.064636,-98.442810,39,0.000244,rd1_R_o_reg[15]/CLK,rise
rd1_R_o_reg[25]/D,-93.320007,-86.109406,363.767487,367.729309,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,270.447479,363.767456,-93.320007,35,0.000244,rd1_R_o_reg[25]/CLK,rise
rd1_R_o_reg[23]/D,-92.723328,-81.368164,363.184174,363.490845,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,270.460846,363.184204,-92.723328,35,0.000244,rd1_R_o_reg[23]/CLK,rise
rd1_R_o_reg[9]/D,-92.227570,-90.455292,360.983643,370.396606,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,268.756073,360.983582,-92.227570,35,0.000244,rd1_R_o_reg[9]/CLK,rise
rd1_R_o_reg[16]/D,-89.776245,-88.532532,360.243591,370.758301,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,270.467346,360.243591,-89.776245,37,0.000244,rd1_R_o_reg[16]/CLK,rise
