"from_pin.full_name","to_pin.full_name",delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
stage1_iter_reg[3]/QN,FE_OCPC400_stage1_iter_3/A,0.124560,0.124657,0.124560,UNINIT,0.124657,UNINIT
stage1_iter_reg[3]/QN,FE_OFC190_stage1_iter_3/A,0.124560,0.124657,0.124560,UNINIT,0.124657,UNINIT
stage1_iter_reg[3]/QN,FE_OFC191_stage1_iter_3/A,0.124560,0.124657,0.124560,UNINIT,0.124657,UNINIT
stage1_iter_reg[3]/QN,g42558/B,0.124560,0.124657,0.124560,UNINIT,0.124657,UNINIT
FE_OCPC400_stage1_iter_3/Y,g42352/A,0.048478,0.048577,0.048478,UNINIT,0.048577,UNINIT
FE_OFC190_stage1_iter_3/Y,g44390/A,0.062593,0.062727,0.062593,UNINIT,0.062727,UNINIT
FE_OFC190_stage1_iter_3/Y,g8/B,0.062593,0.062727,0.062593,UNINIT,0.062727,UNINIT
FE_OFC190_stage1_iter_3/Y,g48158/B,0.062593,0.062727,0.062593,UNINIT,0.062727,UNINIT
FE_OFC190_stage1_iter_3/Y,g36/A,0.062593,0.062727,0.062593,UNINIT,0.062727,UNINIT
FE_OFC191_stage1_iter_3/Y,g50518_dup/C,0.083189,0.082065,0.083189,UNINIT,0.082065,UNINIT
FE_OFC191_stage1_iter_3/Y,g50518/C,0.083189,0.082065,0.083189,UNINIT,0.082065,UNINIT
g42558/Y,g42520/B,0.024137,0.024141,0.024137,UNINIT,0.024141,UNINIT
g42352/Y,stage1_iter_reg[3]/D,0.029616,0.029566,0.029616,UNINIT,0.029566,UNINIT
g44390/Y,g44389/B,0.102327,0.102559,0.102327,UNINIT,0.102559,UNINIT
g8/Y,g51946/A,0.041865,0.041863,0.041865,UNINIT,0.041863,UNINIT
g48158/Y,g44388/B,0.045556,0.045037,0.045556,UNINIT,0.045037,UNINIT
g36/Y,g47294/A2,0.080094,0.079885,0.080094,UNINIT,0.079885,UNINIT
g36/Y,g42541/A,0.080094,0.079885,0.080094,UNINIT,0.079885,UNINIT
g36/Y,g50583/A,0.080094,0.079885,0.080094,UNINIT,0.079885,UNINIT
g50518_dup/Y,FE_OCPC266_n_12937/A,0.112875,0.112958,0.112875,UNINIT,0.112958,UNINIT
g50518/Y,FE_OFC174_n_12937/A,0.139309,0.139411,0.139309,UNINIT,0.139411,UNINIT
g42520/Y,g43266/A1,0.076241,0.076112,0.076241,UNINIT,0.076112,UNINIT
g42520/Y,g44388/A,0.076241,0.076112,0.076241,UNINIT,0.076112,UNINIT
g42520/Y,g42506/A,0.076241,0.076112,0.076241,UNINIT,0.076112,UNINIT
g44389/Y,g44388/C,0.049104,0.048677,0.049104,UNINIT,0.048677,UNINIT
g44389/Y,g44392/A,0.049104,0.048677,0.049104,UNINIT,0.048677,UNINIT
g51946/Y,FE_DBTC18_n_14989/A,0.626275,0.625989,0.626275,UNINIT,0.625989,UNINIT
g51946/Y,FE_DBTC18_n_14989_dup1/A,0.626275,0.625989,0.626275,UNINIT,0.625989,UNINIT
g51946/Y,FE_DBTC18_n_14989_dup/A,0.626275,0.625989,0.626275,UNINIT,0.625989,UNINIT
g51946/Y,FE_OCPC329_n_14989/A,0.626275,0.625989,0.626275,UNINIT,0.625989,UNINIT
g44388/Y,FE_OCPC260_n_4521_dup/A,1.096802,1.095666,1.096802,UNINIT,1.095666,UNINIT
g44388/Y,g51478/B,0.836674,0.835414,0.836674,UNINIT,0.835414,UNINIT
g44388/Y,g51480/B,0.782460,0.781202,0.782460,UNINIT,0.781202,UNINIT
g44388/Y,g47834/B,0.933592,0.932354,0.933592,UNINIT,0.932354,UNINIT
g44388/Y,g51480_dup/B,1.019379,1.018185,1.019379,UNINIT,1.018185,UNINIT
g44388/Y,FE_OCPC260_n_4521/A,1.105275,1.104146,1.105275,UNINIT,1.104146,UNINIT
g44388/Y,g47834_dup/B,1.088146,1.087003,1.088146,UNINIT,1.087003,UNINIT
g47294/Y,g51480/A,0.087837,0.087415,0.087837,UNINIT,0.087415,UNINIT
g47294/Y,FE_OFC173_n_8607/A,0.087837,0.087415,0.087837,UNINIT,0.087415,UNINIT
g47294/Y,g51480_dup/A,0.087837,0.087415,0.087837,UNINIT,0.087415,UNINIT
