full_name,max_slack
data_o_reg[15]/RESETN,INFINITY
data_o_reg[9]/RESETN,INFINITY
data_o_reg[25]/RESETN,INFINITY
data_o_reg[1]/RESETN,INFINITY
data_o_reg[35]/RESETN,INFINITY
data_o_reg[57]/RESETN,INFINITY
data_o_reg[41]/RESETN,INFINITY
data_o_reg[21]/RESETN,INFINITY
data_o_reg[23]/RESETN,INFINITY
data_o_reg[51]/RESETN,INFINITY
data_o_reg[4]/RESETN,INFINITY
data_o_reg[18]/RESETN,INFINITY
data_o_reg[52]/RESETN,INFINITY
data_o_reg[22]/RESETN,INFINITY
data_o_reg[32]/RESETN,INFINITY
data_o_reg[42]/RESETN,INFINITY
data_o_reg[20]/RESETN,INFINITY
data_o_reg[0]/RESETN,INFINITY
data_o_reg[34]/RESETN,INFINITY
data_o_reg[56]/RESETN,INFINITY
data_o_reg[48]/RESETN,INFINITY
stage1_iter_reg[2]/RESETN,INFINITY
rd1_L_o_reg[14]/RESETN,INFINITY
stage1_iter_reg[0]/RESETN,INFINITY
rd1_L_o_reg[19]/RESETN,INFINITY
rd1_L_o_reg[6]/RESETN,INFINITY
rd1_L_o_reg[4]/RESETN,INFINITY
rd1_L_o_reg[26]/RESETN,INFINITY
rd1_L_o_reg[1]/RESETN,INFINITY
rd1_L_o_reg[25]/RESETN,INFINITY
data_ready_reg/SETN,INFINITY
rd1_L_o_reg[7]/RESETN,INFINITY
rd1_L_o_reg[12]/RESETN,INFINITY
rd1_L_o_reg[22]/RESETN,INFINITY
rd1_Key_o_reg[5]/RESETN,INFINITY
rd1_L_o_reg[0]/RESETN,INFINITY
rd1_L_o_reg[9]/RESETN,INFINITY
rd1_Key_o_reg[13]/RESETN,INFINITY
rd1_Key_o_reg[34]/RESETN,INFINITY
rd1_Key_o_reg[2]/RESETN,INFINITY
rd1_Key_o_reg[0]/RESETN,INFINITY
rd1_Key_o_reg[36]/RESETN,INFINITY
rd1_Key_o_reg[22]/RESETN,INFINITY
rd1_Key_o_reg[43]/RESETN,INFINITY
rd1_Key_o_reg[50]/RESETN,INFINITY
rd1_Key_o_reg[14]/RESETN,INFINITY
rd1_L_o_reg[20]/RESETN,INFINITY
rd1_Key_o_reg[26]/RESETN,INFINITY
rd1_Key_o_reg[4]/RESETN,INFINITY
rd1_Key_o_reg[53]/RESETN,INFINITY
rd1_Key_o_reg[17]/RESETN,INFINITY
rd1_Key_o_reg[29]/RESETN,INFINITY
rd1_Key_o_reg[49]/RESETN,INFINITY
rd1_Key_o_reg[16]/RESETN,INFINITY
rd1_Key_o_reg[37]/RESETN,INFINITY
data_o_reg[19]/RESETN,INFINITY
data_o_reg[47]/RESETN,INFINITY
data_o_reg[53]/RESETN,INFINITY
data_o_reg[5]/RESETN,INFINITY
data_o_reg[45]/RESETN,INFINITY
data_o_reg[3]/RESETN,INFINITY
data_o_reg[63]/RESETN,INFINITY
data_o_reg[31]/RESETN,INFINITY
data_o_reg[33]/RESETN,INFINITY
data_o_reg[13]/RESETN,INFINITY
data_o_reg[17]/RESETN,INFINITY
data_o_reg[38]/RESETN,INFINITY
data_o_reg[2]/RESETN,INFINITY
data_o_reg[30]/RESETN,INFINITY
data_o_reg[6]/RESETN,INFINITY
data_o_reg[28]/RESETN,INFINITY
data_o_reg[58]/RESETN,INFINITY
data_o_reg[14]/RESETN,INFINITY
data_o_reg[50]/RESETN,INFINITY
data_o_reg[12]/RESETN,INFINITY
data_o_reg[46]/RESETN,INFINITY
data_o_reg[16]/RESETN,INFINITY
stage1_iter_reg[1]/RESETN,INFINITY
rd1_L_o_reg[16]/RESETN,INFINITY
rd1_L_o_reg[30]/RESETN,INFINITY
rd1_L_o_reg[18]/RESETN,INFINITY
rd1_L_o_reg[8]/RESETN,INFINITY
rd1_L_o_reg[23]/RESETN,INFINITY
rd1_L_o_reg[5]/RESETN,INFINITY
rd1_L_o_reg[29]/RESETN,INFINITY
rd1_L_o_reg[31]/RESETN,INFINITY
rd1_L_o_reg[10]/RESETN,INFINITY
rd1_L_o_reg[28]/RESETN,INFINITY
rd1_L_o_reg[3]/RESETN,INFINITY
rd1_Key_o_reg[47]/RESETN,INFINITY
rd1_Key_o_reg[31]/RESETN,INFINITY
rd1_Key_o_reg[18]/RESETN,INFINITY
rd1_Key_o_reg[32]/RESETN,INFINITY
rd1_Key_o_reg[27]/RESETN,INFINITY
rd1_Key_o_reg[41]/RESETN,INFINITY
rd1_Key_o_reg[42]/RESETN,INFINITY
rd1_Key_o_reg[40]/RESETN,INFINITY
rd1_Key_o_reg[45]/RESETN,INFINITY
rd1_Key_o_reg[24]/RESETN,INFINITY
rd1_Key_o_reg[25]/RESETN,INFINITY
rd1_Key_o_reg[55]/RESETN,INFINITY
rd1_Key_o_reg[15]/RESETN,INFINITY
rd1_Key_o_reg[12]/RESETN,INFINITY
rd1_Key_o_reg[30]/RESETN,INFINITY
rd1_Key_o_reg[35]/RESETN,INFINITY
rd1_Key_o_reg[8]/RESETN,INFINITY
rd1_Key_o_reg[46]/RESETN,INFINITY
rd1_Key_o_reg[48]/RESETN,INFINITY
data_o_reg[37]/RESETN,INFINITY
data_o_reg[11]/RESETN,INFINITY
data_o_reg[43]/RESETN,INFINITY
data_o_reg[59]/RESETN,INFINITY
data_o_reg[29]/RESETN,INFINITY
data_o_reg[39]/RESETN,INFINITY
data_o_reg[55]/RESETN,INFINITY
data_o_reg[27]/RESETN,INFINITY
data_o_reg[49]/RESETN,INFINITY
data_o_reg[61]/RESETN,INFINITY
data_o_reg[7]/RESETN,INFINITY
data_o_reg[8]/RESETN,INFINITY
data_o_reg[24]/RESETN,INFINITY
data_o_reg[44]/RESETN,INFINITY
data_o_reg[36]/RESETN,INFINITY
data_o_reg[26]/RESETN,INFINITY
data_o_reg[54]/RESETN,INFINITY
data_o_reg[40]/RESETN,INFINITY
data_o_reg[60]/RESETN,INFINITY
data_o_reg[62]/RESETN,INFINITY
data_o_reg[10]/RESETN,INFINITY
stage1_iter_reg[3]/RESETN,INFINITY
rd1_L_o_reg[24]/RESETN,INFINITY
rd1_L_o_reg[13]/RESETN,INFINITY
rd1_L_o_reg[11]/RESETN,INFINITY
rd1_L_o_reg[17]/RESETN,INFINITY
rd1_L_o_reg[21]/RESETN,INFINITY
rd1_L_o_reg[2]/RESETN,INFINITY
rd1_L_o_reg[27]/RESETN,INFINITY
rd1_L_o_reg[15]/RESETN,INFINITY
ready_o_reg/RESETN,INFINITY
rd1_Key_o_reg[38]/RESETN,INFINITY
rd1_Key_o_reg[23]/RESETN,INFINITY
rd1_Key_o_reg[21]/RESETN,INFINITY
rd1_Key_o_reg[33]/RESETN,INFINITY
rd1_Key_o_reg[11]/RESETN,INFINITY
rd1_Key_o_reg[51]/RESETN,INFINITY
rd1_Key_o_reg[39]/RESETN,INFINITY
rd1_Key_o_reg[7]/RESETN,INFINITY
rd1_Key_o_reg[6]/RESETN,INFINITY
rd1_Key_o_reg[54]/RESETN,INFINITY
rd1_Key_o_reg[52]/RESETN,INFINITY
rd1_Key_o_reg[3]/RESETN,INFINITY
rd1_Key_o_reg[9]/RESETN,INFINITY
rd1_Key_o_reg[28]/RESETN,INFINITY
rd1_Key_o_reg[20]/RESETN,INFINITY
rd1_Key_o_reg[44]/RESETN,INFINITY
rd1_Key_o_reg[10]/RESETN,INFINITY
rd1_Key_o_reg[19]/RESETN,INFINITY
rd1_Key_o_reg[1]/RESETN,INFINITY
rd1_R_o_reg[10]/RESETN,INFINITY
rd1_R_o_reg[0]/RESETN,INFINITY
rd1_R_o_reg[20]/RESETN,INFINITY
rd1_R_o_reg[4]/RESETN,INFINITY
rd1_R_o_reg[19]/RESETN,INFINITY
rd1_R_o_reg[2]/RESETN,INFINITY
rd1_R_o_reg[30]/RESETN,INFINITY
rd1_R_o_reg[16]/RESETN,INFINITY
rd1_R_o_reg[26]/RESETN,INFINITY
rd1_R_o_reg[29]/RESETN,INFINITY
rd1_R_o_reg[3]/RESETN,INFINITY
rd1_R_o_reg[11]/RESETN,INFINITY
rd1_R_o_reg[13]/RESETN,INFINITY
rd1_R_o_reg[5]/RESETN,INFINITY
rd1_R_o_reg[28]/RESETN,INFINITY
rd1_R_o_reg[8]/RESETN,INFINITY
rd1_R_o_reg[21]/RESETN,INFINITY
rd1_R_o_reg[24]/RESETN,INFINITY
rd1_R_o_reg[12]/RESETN,INFINITY
rd1_R_o_reg[6]/RESETN,INFINITY
rd1_R_o_reg[7]/RESETN,INFINITY
rd1_R_o_reg[15]/RESETN,INFINITY
rd1_R_o_reg[25]/RESETN,INFINITY
rd1_R_o_reg[31]/RESETN,INFINITY
rd1_R_o_reg[18]/RESETN,INFINITY
rd1_R_o_reg[22]/RESETN,INFINITY
rd1_R_o_reg[17]/RESETN,INFINITY
rd1_R_o_reg[27]/RESETN,INFINITY
rd1_R_o_reg[9]/RESETN,INFINITY
rd1_R_o_reg[14]/RESETN,INFINITY
rd1_R_o_reg[23]/RESETN,INFINITY
rd1_R_o_reg[1]/RESETN,INFINITY
