full_name,actual_rise_transition_max,actual_fall_transition_max,cached_ceff_max_rise,cached_ceff_max_fall,cached_ceff_min_rise,cached_ceff_min_fall,fanout_load,pin_capacitance_max,direction,max_rise_slack,max_fall_slack,max_rise_arrival,max_fall_arrival,actual_rise_transition_min,actual_fall_transition_min,min_rise_slack,min_fall_slack,min_rise_arrival,min_fall_arrival,x_coordinate,y_coordinate
stage1_iter_reg[3]/CLK,127.438049,127.280113,,,,,1.000000,0.493555,in,-121.649536,INFINITY,55.168362,55.101204,101.773468,101.292908,66.279366,INFINITY,44.062523,43.854603,1188.000000,5139.000000
stage1_iter_reg[3]/QN,36.272541,33.842125,0.003965,0.003968,0.002992,0.002991,0.000000,0.000000,out,-121.649544,-120.438225,111.422501,110.282913,30.140419,28.772408,66.279366,75.188515,96.011398,94.814346,2484.000000,5103.000000
FE_OCPC400_stage1_iter_3/A,36.274689,33.844433,,,,,1.000000,0.324662,in,136.589294,144.586243,111.547058,110.407570,30.141867,28.773924,66.279373,75.188507,96.104591,94.907509,2160.000000,5679.000000
FE_OFC190_stage1_iter_3/A,36.274689,33.844433,,,,,1.000000,1.909670,in,-121.649536,-118.836197,111.547058,110.407570,30.141867,28.773924,97.412743,111.288170,96.104591,94.907509,4122.000000,5643.000000
FE_OFC191_stage1_iter_3/A,36.274689,33.844433,,,,,1.000000,0.667414,in,-115.684685,-120.438225,111.547058,110.407570,30.141867,28.773924,68.237579,89.242760,96.104591,94.907509,3474.000000,5103.000000
g42558/B,36.274689,33.844433,,,,,1.000000,0.563340,in,-113.694748,-117.295135,111.547058,110.407570,30.141867,28.773924,116.521454,118.334160,96.104591,94.907509,4140.000000,6057.000000
FE_OCPC400_stage1_iter_3/Y,17.008226,14.545448,0.001118,0.001120,0.001003,0.001015,0.000000,0.000000,out,136.589294,144.586243,134.226105,134.627838,15.617256,13.478591,66.279366,75.188507,117.335922,117.576691,2016.000000,5643.000000
FE_OFC190_stage1_iter_3/Y,15.613164,14.312811,0.002889,0.002895,0.002114,0.002169,0.000000,0.000000,out,-118.836197,-121.649544,120.562836,118.809486,12.652019,11.518147,111.288170,97.412743,103.158913,101.941414,4194.000000,5643.000000
FE_OFC191_stage1_iter_3/Y,30.003382,25.978619,0.003295,0.003251,0.002516,0.002541,0.000000,0.000000,out,-120.438225,-115.684685,129.615768,127.478127,23.987513,20.955244,89.242760,68.237579,110.474762,109.010330,3546.000000,5103.000000
g42558/Y,18.839464,17.061932,0.000681,0.000681,0.000436,0.000420,0.000000,0.000000,out,-118.075722,-113.694748,122.928818,120.313217,13.497711,12.291104,118.334160,115.222191,104.299858,101.481079,4212.000000,6093.000000
g42352/A,17.008921,14.546264,,,,,1.000000,0.981861,in,136.589310,144.586243,134.274582,134.676422,15.617855,13.479303,66.279366,75.188515,117.379066,117.620422,2052.000000,5013.000000
g44390/A,15.614425,14.314192,,,,,1.000000,1.071390,in,-118.250656,-112.107460,120.625427,118.872215,12.652843,11.519101,119.829613,112.390976,103.204453,101.988159,4284.000000,6093.000000
g8/B,15.614425,14.314192,,,,,1.000000,0.563340,in,-118.836197,-121.649544,120.625427,118.872215,12.652843,11.519101,117.386353,126.726646,103.204453,101.988159,5382.000000,6057.000000
g48158/B,15.614425,14.314192,,,,,1.000000,0.510106,in,-115.569214,-107.469498,120.625427,118.872215,12.652843,11.519101,125.110825,113.388489,103.204453,101.988159,4806.000000,6093.000000
g36/A,15.614425,14.314192,,,,,1.000000,0.524236,in,-114.428230,-121.272881,120.625427,118.872215,12.652843,11.519101,111.288170,97.412743,103.204453,101.988159,5094.000000,6057.000000
g50518_dup/C,30.004541,25.979921,,,,,1.000000,1.591850,in,-111.242508,-114.844055,129.698959,127.560188,23.988352,20.956224,89.242767,77.728859,110.538063,109.074287,3816.000000,5139.000000
g50518/C,30.004541,25.979921,,,,,1.000000,1.591850,in,-120.438225,-115.684677,129.698959,127.560188,23.988352,20.956224,95.937981,68.237579,110.538063,109.074287,3816.000000,5517.000000
g42520/B,18.839621,17.062103,,,,,1.000000,0.559138,in,-118.075722,-113.694748,122.952957,120.337357,13.497790,12.291184,118.334160,115.222191,104.314461,101.495079,4446.000000,6633.000000
g42352/Y,25.104494,25.149414,0.000743,0.000742,0.000679,0.000661,0.000000,0.000000,out,53.248016,74.174713,231.826843,222.450134,20.118116,10.108278,-10.886784,-26.225914,42.432331,48.541969,1620.000000,5013.000000
g44390/Y,16.566637,17.140345,0.001834,0.001838,0.001039,0.001093,0.000000,0.000000,out,-120.606544,-122.709915,137.846695,136.690292,11.087046,8.929256,112.390984,119.829613,109.933167,112.223114,4428.000000,6093.000000
g8/Y,17.737350,16.635878,0.001192,0.001192,0.000705,0.000678,0.000000,0.000000,out,-121.649536,-118.836205,130.055130,130.612198,11.169403,9.226663,36.331879,25.970032,19.930885,19.014820,5454.000000,6093.000000
g48158/Y,23.041113,32.058620,0.001168,0.001155,0.000917,0.000925,0.000000,0.000000,out,-108.811333,-115.569206,132.981735,136.883102,13.950759,27.004902,-2.906503,8.378318,-3.322570,0.705877,4914.000000,6093.000000
g36/Y,16.385509,13.946812,0.003621,0.003612,0.002958,0.002933,0.000000,0.000000,out,-115.655670,-121.272888,139.677826,138.340256,14.115099,11.819732,111.288177,97.114891,119.755104,119.498611,5166.000000,6093.000000
g50518_dup/Y,22.074898,31.966579,0.002712,0.002714,0.002250,0.002203,0.000000,0.000000,out,-115.879112,-111.242508,143.234924,145.128891,13.929409,23.052324,-41.915981,-30.898586,2.389058,4.263126,4284.000000,5139.000000
g50518/Y,22.235369,32.279926,0.002773,0.002775,0.002312,0.002264,0.000000,0.000000,out,-116.736710,-120.438217,143.358734,145.289078,14.102951,23.397522,-51.402382,-24.189751,2.496611,4.437190,4284.000000,5517.000000
g42520/Y,12.270164,11.845103,0.002427,0.002423,0.001691,0.001723,0.000000,0.000000,out,-120.848007,-116.231705,142.783203,142.035812,9.616687,9.772579,2.190371,-0.346163,3.075991,2.816556,4626.000000,6633.000000
stage1_iter_reg[3]/D,25.104670,25.149590,,,,,1.000000,0.621293,in,53.248001,74.174713,231.856461,222.479706,20.118296,10.108616,-10.886784,-26.225910,42.459152,48.568027,1368.000000,5103.000000
g44389/B,16.569813,17.143427,,,,,1.000000,1.639660,in,-120.606544,-122.709915,137.949020,136.792847,11.088437,8.931188,112.390984,119.829613,109.988579,112.281700,5040.000000,6219.000000
g51946/A,17.737846,16.636406,,,,,1.000000,1.093600,in,-121.649544,-118.836212,130.097000,130.654068,11.169663,9.226953,36.331879,25.970030,19.954933,19.037878,5904.000000,6057.000000
g44388/B,23.041565,32.058937,,,,,1.000000,1.025610,in,-108.811340,-115.569214,133.027298,136.928146,13.951204,27.005136,-2.906503,8.378318,-3.287418,0.741355,5040.000000,6561.000000
g47294/A2,16.387476,13.949110,,,,,1.000000,1.016970,in,-101.593750,-102.720993,139.757919,138.420135,14.116612,11.821507,143.015442,110.797592,119.820297,119.563248,5976.000000,7335.000000
g42541/A,16.387476,13.949110,,,,,1.000000,1.286160,in,-115.655670,-121.272881,139.757919,138.420135,14.116612,11.821507,119.478889,155.478683,119.820297,119.563248,5364.000000,7263.000000
g50583/A,16.387476,13.949110,,,,,1.000000,1.105330,in,-112.063065,-112.236816,139.757919,138.420135,14.116612,11.821507,111.288170,97.114891,119.820297,119.563248,6156.000000,7173.000000
FE_OCPC266_n_12937/A,22.077797,31.968584,,,,,1.000000,2.531750,in,-115.879105,-111.242516,143.347794,145.241852,13.932528,23.054127,-41.915981,-30.898584,2.482050,4.354071,5148.000000,5553.000000
FE_OFC174_n_12937/A,22.239754,32.282951,,,,,1.000000,2.531750,in,-116.736717,-120.438210,143.498047,145.428482,14.107666,23.400242,-51.402378,-24.189751,2.611663,4.549745,5256.000000,5643.000000
g43266/A1,12.272544,11.847560,,,,,1.000000,0.579473,in,-119.370209,-116.231705,142.859451,142.111923,9.618127,9.774053,32.232979,-0.346163,3.128501,2.870101,5256.000000,6759.000000
g44388/A,12.272544,11.847560,,,,,1.000000,1.066940,in,-116.966675,-114.145798,142.859451,142.111923,9.618127,9.774053,2.190371,4.591847,3.128501,2.870101,4932.000000,6561.000000
g42506/A,12.272544,11.847560,,,,,1.000000,0.535565,in,-120.848022,-116.098511,142.859451,142.111923,9.618127,9.774053,34.956726,0.928874,3.128501,2.870101,5472.000000,6723.000000
g44389/Y,17.680584,13.072216,0.001867,0.001851,0.001442,0.001426,0.000000,0.000000,out,-122.709915,-120.606544,146.667206,145.079239,9.656056,9.577312,1.533920,-7.209561,1.393252,-3.630503,5292.000000,6183.000000
g51946/Y,26.751221,24.397785,0.019736,0.019727,0.014565,0.014479,0.000000,0.000000,out,-123.909561,-122.561478,158.017426,162.649582,20.763456,19.451279,13.702986,5.710611,19.097200,22.809402,6228.000000,6093.000000
