sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std
stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000
stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000
stage1_iter_reg[0]/CLK,54.749596,54.749596,0.000000
rd1_L_o_reg[23]/CLK,36.513317,36.513317,0.000000
rd1_L_o_reg[22]/CLK,54.030499,54.030499,0.000000
rd1_L_o_reg[30]/CLK,53.436626,53.436626,0.000000
rd1_R_o_reg[14]/CLK,54.033386,54.033386,0.000000
rd1_L_o_reg[17]/CLK,53.737434,53.737434,0.000000
rd1_L_o_reg[25]/CLK,36.770088,36.770088,0.000000
rd1_L_o_reg[27]/CLK,52.759277,52.759277,0.000000
rd1_R_o_reg[30]/CLK,54.489147,54.489147,0.000000
rd1_L_o_reg[14]/CLK,30.209806,30.209806,0.000000
rd1_L_o_reg[21]/CLK,52.434715,52.434715,0.000000
rd1_R_o_reg[16]/CLK,36.864628,36.864628,0.000000
rd1_L_o_reg[2]/CLK,5.201362,5.201362,0.000000
rd1_L_o_reg[24]/CLK,40.124107,40.124107,0.000000
rd1_L_o_reg[4]/CLK,52.768909,52.768909,0.000000
rd1_L_o_reg[12]/CLK,52.82235,52.822350,0.000000
rd1_L_o_reg[19]/CLK,52.148621,52.148621,0.000000
rd1_L_o_reg[9]/CLK,51.677334,51.677334,0.000000
rd1_L_o_reg[28]/CLK,24.875151,24.875151,0.000000
rd1_L_o_reg[11]/CLK,16.756218,16.756218,0.000000
rd1_L_o_reg[18]/CLK,30.50956,30.509560,0.000000
rd1_L_o_reg[16]/CLK,32.600025,32.600025,0.000000
rd1_L_o_reg[29]/CLK,26.355854,26.355854,0.000000
rd1_L_o_reg[15]/CLK,31.681198,31.681198,0.000000
rd1_L_o_reg[13]/CLK,5.445721,5.445721,0.000000
rd1_L_o_reg[8]/CLK,50.997551,50.997551,0.000000
rd1_R_o_reg[22]/CLK,53.731136,53.731136,0.000000
rd1_R_o_reg[9]/CLK,34.729107,34.729107,0.000000
rd1_R_o_reg[24]/CLK,28.537937,28.537937,0.000000
rd1_R_o_reg[18]/CLK,25.113022,25.113022,0.000000
rd1_L_o_reg[26]/CLK,26.625832,26.625832,0.000000
rd1_L_o_reg[20]/CLK,5.7393,5.739300,0.000000
rd1_R_o_reg[8]/CLK,42.08268,42.082680,0.000000
rd1_L_o_reg[7]/CLK,30.071428,30.071428,0.000000
rd1_L_o_reg[3]/CLK,25.110804,25.110804,0.000000
rd1_R_o_reg[26]/CLK,27.058134,27.058134,0.000000
rd1_L_o_reg[1]/CLK,10.739489,10.739489,0.000000
rd1_R_o_reg[31]/CLK,11.409556,11.409556,0.000000
rd1_L_o_reg[0]/CLK,4.730232,4.730232,0.000000
rd1_L_o_reg[5]/CLK,8.725939,8.725939,0.000000
rd1_L_o_reg[31]/CLK,10.58153,10.581530,0.000000
rd1_R_o_reg[15]/CLK,27.046371,27.046371,0.000000
rd1_R_o_reg[21]/CLK,12.266247,12.266247,0.000000
rd1_R_o_reg[29]/CLK,10.788837,10.788837,0.000000
rd1_L_o_reg[10]/CLK,6.248827,6.248827,0.000000
rd1_R_o_reg[19]/CLK,54.926224,54.926224,0.000000
rd1_R_o_reg[4]/CLK,54.956963,54.956963,0.000000
rd1_R_o_reg[2]/CLK,43.913132,43.913132,0.000000
rd1_R_o_reg[28]/CLK,6.27072,6.270720,0.000000
rd1_R_o_reg[17]/CLK,6.692248,6.692248,0.000000
rd1_R_o_reg[1]/CLK,27.13587,27.135870,0.000000
rd1_R_o_reg[5]/CLK,7.558375,7.558375,0.000000
rd1_R_o_reg[23]/CLK,36.867134,36.867134,0.000000
rd1_R_o_reg[12]/CLK,5.432838,5.432838,0.000000
rd1_R_o_reg[6]/CLK,11.410875,11.410875,0.000000
rd1_L_o_reg[6]/CLK,10.688982,10.688982,0.000000
rd1_R_o_reg[11]/CLK,12.273975,12.273975,0.000000
rd1_R_o_reg[7]/CLK,11.232971,11.232971,0.000000
rd1_R_o_reg[27]/CLK,4.938914,4.938914,0.000000
rd1_R_o_reg[10]/CLK,3.859898,3.859898,0.000000
rd1_R_o_reg[25]/CLK,36.862949,36.862949,0.000000
rd1_R_o_reg[0]/CLK,3.91085,3.910850,0.000000
rd1_R_o_reg[3]/CLK,8.298516,8.298516,0.000000
rd1_R_o_reg[13]/CLK,7.307458,7.307458,0.000000
rd1_R_o_reg[20]/CLK,6.939154,6.939154,0.000000
