cell,type,class,sx,sy,px,py
FE_OFC13214_data_o_62,BUFx4f_ASAP7_75t_L,core,432,270,1872,10188
FE_OFC13212_ready_o,BUFx6f_ASAP7_75t_SL,core,540,270,20340,9108
FE_OFC13210_data_o_48,BUFx6f_ASAP7_75t_SL,core,540,270,20340,11268
FE_OFC13208_data_o_29,BUFx6f_ASAP7_75t_SL,core,540,270,11592,19908
FE_OFC13206_data_o_26,BUFx6f_ASAP7_75t_SL,core,540,270,11484,20178
FE_OFC13204_data_o_51,BUFx6f_ASAP7_75t_L,core,540,270,11160,2088
FE_OFC13202_data_o_13,BUFx6f_ASAP7_75t_L,core,540,270,1008,9378
FE_OFC13200_data_o_59,BUFx6f_ASAP7_75t_L,core,540,270,11484,1818
FE_OFC13198_data_o_8,BUFx6f_ASAP7_75t_L,core,540,270,1008,11808
FE_OFC13196_data_o_34,BUFx6f_ASAP7_75t_L,core,540,270,1008,11268
FE_OFC13194_data_o_46,BUFx6f_ASAP7_75t_L,core,540,270,1548,9918
FE_OFC13192_data_o_49,BUFx6f_ASAP7_75t_L,core,540,270,1008,10728
FE_OFC13190_data_o_16,BUFx6f_ASAP7_75t_L,core,540,270,1008,12078
FE_OFC13188_data_o_20,BUFx6f_ASAP7_75t_L,core,540,270,9378,19368
FE_OFC13186_data_o_27,BUFx6f_ASAP7_75t_L,core,540,270,11160,1008
FE_OFC13184_data_o_38,BUFx6f_ASAP7_75t_L,core,540,270,10458,19638
FE_OFC13182_data_o_11,BUFx6f_ASAP7_75t_SL,core,540,270,19800,9648
FE_OFC13180_data_o_45,BUFx6f_ASAP7_75t_SL,core,540,270,20340,9648
FE_OFC13178_data_o_61,BUFx6f_ASAP7_75t_SL,core,540,270,20340,10188
FE_OFC13176_data_o_47,BUFx6f_ASAP7_75t_SL,core,540,270,20340,11538
FE_OFC13174_data_o_12,BUFx6f_ASAP7_75t_SL,core,540,270,20340,9378
FE_OFC13172_data_o_23,BUFx6f_ASAP7_75t_SL,core,540,270,19800,11808
FE_OFC13170_data_o_55,BUFx6f_ASAP7_75t_SL,core,540,270,20340,10458
FE_OFC13168_data_o_15,BUFx6f_ASAP7_75t_L,core,540,270,19800,9378
FE_OFC13166_data_o_33,BUFx6f_ASAP7_75t_L,core,540,270,19800,11538
FE_OFC13164_data_o_35,BUFx6f_ASAP7_75t_L,core,540,270,20340,10998
FE_OFC13162_data_o_7,BUFx6f_ASAP7_75t_L,core,540,270,20340,11808
FE_OFC13160_data_o_21,BUFx6f_ASAP7_75t_L,core,540,270,9702,1548
FE_OFC13158_data_o_60,BUFx6f_ASAP7_75t_L,core,540,270,10998,19638
FE_OFC13156_data_o_19,BUFx6f_ASAP7_75t_L,core,540,270,12996,20178
FE_OFC13154_data_o_63,BUFx6f_ASAP7_75t_L,core,540,270,12132,1278
FE_OFC13152_data_o_2,BUFx6f_ASAP7_75t_L,core,540,270,13536,20178
FE_OFC13150_data_o_54,BUFx6f_ASAP7_75t_L,core,540,270,10242,1548
FE_OFC13148_data_o_30,BUFx6f_ASAP7_75t_L,core,540,270,11646,19368
FE_OFC13146_data_o_40,BUFx6f_ASAP7_75t_L,core,540,270,9756,1278
FE_OFC13144_data_o_31,BUFx6f_ASAP7_75t_L,core,540,270,19800,10998
FE_OFC13142_data_o_9,BUFx6f_ASAP7_75t_L,core,540,270,13212,1008
FE_OFC13140_data_o_3,BUFx6f_ASAP7_75t_L,core,540,270,10620,1008
FE_OFC13138_data_o_56,BUFx6f_ASAP7_75t_L,core,540,270,9810,20178
FE_OFC13136_data_o_1,BUFx6f_ASAP7_75t_L,core,540,270,13752,1008
FE_OFC13134_data_o_22,BUFx6f_ASAP7_75t_L,core,540,270,13212,19908
FE_OFC13132_data_o_44,BUFx6f_ASAP7_75t_L,core,540,270,14616,20178
FE_OFC13130_data_o_39,BUFx6f_ASAP7_75t_L,core,540,270,11376,2628
FE_OFC13128_data_o_18,BUFx6f_ASAP7_75t_L,core,540,270,8838,1548
FE_OFC13126_data_o_28,BUFx6f_ASAP7_75t_L,core,540,270,10242,2358
FE_OFC13124_data_o_10,BUFx6f_ASAP7_75t_L,core,540,270,12672,19908
FE_OFC13122_data_o_58,BUFx6f_ASAP7_75t_L,core,540,270,1440,10458
FE_OFC13120_data_o_17,BUFx6f_ASAP7_75t_L,core,540,270,12132,1008
FE_OFC13118_data_o_32,BUFx6f_ASAP7_75t_L,core,540,270,1008,10188
FE_OFC13116_data_o_50,BUFx6f_ASAP7_75t_L,core,540,270,1656,10728
FE_OFC13114_data_o_37,BUFx6f_ASAP7_75t_L,core,540,270,9216,1008
FE_OFC13112_data_o_41,BUFx6f_ASAP7_75t_L,core,540,270,12024,20178
FE_OFC13110_data_o_25,BUFx6f_ASAP7_75t_L,core,540,270,12672,1008
FE_OFC13108_data_o_43,BUFx6f_ASAP7_75t_L,core,540,270,12672,1278
FE_OFC13106_data_o_5,BUFx6f_ASAP7_75t_L,core,540,270,8892,20178
FE_OFC13104_data_o_42,BUFx6f_ASAP7_75t_L,core,540,270,10350,20178
FE_OFC13102_data_o_57,BUFx6f_ASAP7_75t_L,core,540,270,9216,19908
FE_OFC13100_data_o_52,BUFx6f_ASAP7_75t_L,core,540,270,10944,20178
FE_OFC13098_data_o_6,BUFx6f_ASAP7_75t_L,core,540,270,8514,19638
FE_OFC13096_data_o_53,BUFx6f_ASAP7_75t_L,core,540,270,9216,1278
FE_OFC13094_data_o_36,BUFx6f_ASAP7_75t_L,core,540,270,1008,9918
FE_OFC13092_data_o_24,BUFx6f_ASAP7_75t_L,core,540,270,1008,11538
FE_OFC402_stage1_round_key_o_8,INVx1_ASAP7_75t_L,core,162,270,13104,12078
FE_OFC401_stage1_round_key_o_20,INVx1_ASAP7_75t_L,core,162,270,9648,13698
FE_OFC400_stage1_iter_2,INVx2_ASAP7_75t_L,core,216,270,4356,5598
FE_OFC399_stage1_iter_2,HB1xp67_ASAP7_75t_L,core,216,270,3870,4518
FE_OFC398_n_12937,INVx1_ASAP7_75t_L,core,162,270,12618,6138
