full_name,"lib_cell.full_name","lib_cell.function_id"
g158508,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158509,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158510,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158511,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158512,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158513,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158514,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158515,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158516,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158517,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158518,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158519,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158520,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158521,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158522,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158523,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158524,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158525,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158526,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158527,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158528,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158602,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158604,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158606,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158607,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158608,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158609,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158610,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158611,asap7sc7p5t_AO_LVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_L,a2.0b2.2b2.2
g158612,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp33_ASAP7_75t_SL,a2.0b2.2b2.2
g158613,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
g158614,asap7sc7p5t_AO_SLVT_TT_nldm_211120/AOI22xp5_ASAP7_75t_SL,a2.0b2.2b2.2
