ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
wishbone_slave_unit_wishbone_slave_del_addr_hit_reg/D,-4208.483398,-4366.403809,4168.523438,4181.250488,i_pci_wbs_wbb3_2_wbb2_wbs_adr_o_reg[1]/CLK,3227.7771,3227.777100,0.000000,-39.960007,4168.522949,-4208.483398,11,0.000000,wishbone_slave_unit_wishbone_slave_del_addr_hit_reg/CLK,rise
wishbone_slave_unit_pci_initiator_if_err_recovery_reg/D,-4090.948242,-4239.185547,3958.174561,4020.079346,wishbone_slave_unit_pci_initiator_if_current_last_reg/CLK,3128.041016,3128.041016,0.000000,-132.773651,3958.174805,-4090.948242,7,0.000000,wishbone_slave_unit_pci_initiator_if_err_recovery_reg/CLK,rise
wishbone_slave_unit_wishbone_slave_img_hit_reg[1]/D,-3673.303223,-3734.578613,3517.251221,3510.457520,i_pci_wbs_wbb3_2_wbb2_wbs_adr_o_reg[31]/CLK,3227.879395,3227.879395,0.000000,-156.052002,3517.251221,-3673.303223,9,0.000000,wishbone_slave_unit_wishbone_slave_img_hit_reg[1]/CLK,rise
wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[0]/D,-3653.537598,-3660.072510,3496.682129,3435.444824,wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[0]/CLK,2659.577637,2659.577637,0.000000,-156.855499,3496.682129,-3653.537598,5,0.000000,wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[0]/CLK,rise
wishbone_slave_unit_wishbone_slave_img_hit_reg[0]/D,-3641.563721,-3734.197998,3519.204590,3511.047119,i_pci_wbs_wbb3_2_wbb2_wbs_adr_o_reg[31]/CLK,3227.879395,3227.879395,0.000000,-122.359192,3519.204590,-3641.563721,9,0.000000,wishbone_slave_unit_wishbone_slave_img_hit_reg[0]/CLK,rise
wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[1]/D,-3631.069824,-3628.233154,3467.116211,3405.589355,wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[1]/CLK,2633.413818,2633.413818,0.000000,-163.953552,3467.116211,-3631.069824,5,0.000000,wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[1]/CLK,rise
wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[2]/D,-3628.219727,-3640.592773,3477.802490,3416.221680,wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[2]/CLK,2641.931641,2641.931641,0.000000,-150.417175,3477.802490,-3628.219727,5,0.000000,wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[2]/CLK,rise
wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[3]/D,-3617.909180,-3626.198730,3463.444580,3401.954590,wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[3]/CLK,2628.81958,2628.819580,0.000000,-154.4646,3463.444580,-3617.909180,5,0.000000,wishbone_slave_unit_fifos_wbw_fifo_ctrl_rclk_wgrey_next_reg[3]/CLK,rise
wishbone_slave_unit_wishbone_slave_map_reg/D,-3549.726318,-3641.272705,3522.360107,3520.051270,i_pci_wbs_wbb3_2_wbb2_wbs_adr_o_reg[31]/CLK,3227.879395,3227.879395,0.000000,-27.366272,3522.360107,-3549.726318,9,0.000000,wishbone_slave_unit_wishbone_slave_map_reg/CLK,rise
pci_target_unit_pci_target_if_strd_address_reg[5]/D,-3488.618408,-3484.060791,3405.408691,3354.549805,input_register_pci_ad_reg_out_reg[5]/CLK,3127.80542,3127.805420,0.000000,-83.209778,3405.409180,-3488.618408,11,0.000000,pci_target_unit_pci_target_if_strd_address_reg[5]/CLK,rise
wishbone_slave_unit_fifos_wbw_fifo_ctrl_rgrey_next_reg[1]/D,-3448.314697,-3517.916992,3318.536377,3307.623291,wishbone_slave_unit_fifos_wbw_fifo_ctrl_raddr_reg[2]/CLK,2885.094238,2885.094238,0.000000,-129.778259,3318.536133,-3448.314697,7,0.000000,wishbone_slave_unit_fifos_wbw_fifo_ctrl_rgrey_next_reg[1]/CLK,rise
