"from_pin.full_name","to_pin.full_name",delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
pci_io_mux_ad_iob31_dat_out_reg/QN,g146554/A,0.204709,0.164673,0.204709,UNINIT,0.164673,UNINIT
pci_io_mux_ad_iob31_dat_out_reg/QN,FE_OFC83120_pci_ad_o_31/A,2.750966,2.741425,2.750966,UNINIT,2.741425,UNINIT
g146554/Y,g455/B,0.028056,0.028035,0.028056,UNINIT,0.028035,UNINIT
g146554/Y,g186826/B,0.028056,0.028035,0.028056,UNINIT,0.028035,UNINIT
g455/Y,g452/A,0.008809,0.008732,0.008809,UNINIT,0.008732,UNINIT
g186826/Y,g447/B,0.024082,0.023979,0.024082,UNINIT,0.023979,UNINIT
g452/Y,g447/A1,0.020395,0.020443,0.020395,UNINIT,0.020443,UNINIT
g447/Y,pci_io_mux_ad_iob31_dat_out_reg/D,0.033302,0.033245,0.033302,UNINIT,0.033245,UNINIT
pci_io_mux_ad_iob16_dat_out_reg/QN,g164933/A,0.702551,0.700784,0.702551,UNINIT,0.700784,UNINIT
pci_io_mux_ad_iob16_dat_out_reg/QN,FE_OFC83084_pci_ad_o_16/A,0.702551,0.700784,0.702551,UNINIT,0.700784,UNINIT
g164933/Y,g200113/A,0.051744,0.051055,0.051744,UNINIT,0.051055,UNINIT
g200113/Y,g154141/B,0.062870,0.062858,0.062870,UNINIT,0.062858,UNINIT
g154141/Y,pci_io_mux_ad_iob16_dat_out_reg/D,0.027329,0.027283,0.027329,UNINIT,0.027283,UNINIT
output_backup_ad_out_reg[31]/QN,g164969/B,0.081966,0.081895,0.081966,UNINIT,0.081895,UNINIT
output_backup_ad_out_reg[31]/QN,FE_OCPC2200_wb_err_data_in_31/A,0.081966,0.081895,0.081966,UNINIT,0.081895,UNINIT
g164969/SN,g123031/A,0.063620,0.063393,0.063620,UNINIT,0.063393,UNINIT
FE_OCPC2200_wb_err_data_in_31/Y,g451/A,0.106919,0.106608,0.106919,UNINIT,0.106608,UNINIT
FE_OCPC2200_wb_err_data_in_31/Y,g140934/A1,0.106919,0.106608,0.106919,UNINIT,0.106608,UNINIT
g123031/Y,g122982/A,0.103683,0.104009,0.103683,UNINIT,0.104009,UNINIT
g451/Y,g448/B,0.021107,0.021074,0.021107,UNINIT,0.021074,UNINIT
g451/Y,g186824/B,0.021107,0.021074,0.021107,UNINIT,0.021074,UNINIT
g140934/Y,configuration_wb_err_data_reg[31]/D,0.045230,0.045159,0.045230,UNINIT,0.045159,UNINIT
g122982/Y,g122851/A,0.372021,0.371264,0.372021,UNINIT,0.371264,UNINIT
g448/Y,g186566/A3,0.009422,0.009392,0.009422,UNINIT,0.009392,UNINIT
g186824/Y,g186566/B,0.018122,0.018097,0.018122,UNINIT,0.018097,UNINIT
g122851/Y,g122175__9945/A,0.031826,0.034776,0.031826,UNINIT,0.034776,UNINIT
g186566/Y,FE_OFC2207_56911/A,0.000027,0.000027,0.000027,UNINIT,0.000027,UNINIT
g122175__9945/Y,g121871__6131/A,0.528336,0.540839,0.528336,UNINIT,0.540839,UNINIT
FE_OFC2207_56911/Y,output_backup_ad_out_reg[31]/D,0.072596,0.072493,0.072596,UNINIT,0.072493,UNINIT
g121871__6131/Y,g121700__5107/A,0.037389,0.037538,0.037389,UNINIT,0.037538,UNINIT
g121700__5107/Y,output_backup_par_out_reg/D,1.954949,1.944607,1.954949,UNINIT,1.944607,UNINIT
g121700__5107/Y,pci_io_mux_par_iob_dat_out_reg/D,3.166678,3.146294,3.166678,UNINIT,3.146294,UNINIT
output_backup_ad_out_reg[16]/QN,g123507/B,0.144300,0.138257,0.144300,UNINIT,0.138257,UNINIT
output_backup_ad_out_reg[16]/QN,g164932/A,0.144300,0.138257,0.144300,UNINIT,0.138257,UNINIT
output_backup_ad_out_reg[16]/QN,g140947/A1,0.144300,0.138257,0.144300,UNINIT,0.138257,UNINIT
g123507/Y,g123189/A,0.089005,0.089016,0.089005,UNINIT,0.089016,UNINIT
g164932/Y,g200109/A,0.027941,0.027558,0.027941,UNINIT,0.027558,UNINIT
g140947/Y,configuration_wb_err_data_reg[16]/D,0.042976,0.042908,0.042976,UNINIT,0.042908,UNINIT
g123189/Y,g123034/B,0.035768,0.031948,0.035768,UNINIT,0.031948,UNINIT
g200109/Y,g159780/B,0.015747,0.015733,0.015747,UNINIT,0.015733,UNINIT
g123034/Y,g164964/CI,0.163246,0.163632,0.163246,UNINIT,0.163632,UNINIT
g159780/Y,output_backup_ad_out_reg[16]/D,0.020590,0.020553,0.020590,UNINIT,0.020553,UNINIT
g164964/SN,g121700__5107/B,0.398978,0.375675,0.398978,UNINIT,0.375675,UNINIT
output_backup_ad_out_reg[4]/QN,g275/A2,0.091497,0.088755,0.091497,UNINIT,0.088755,UNINIT
output_backup_ad_out_reg[4]/QN,g123509/B,0.091497,0.088755,0.091497,UNINIT,0.088755,UNINIT
output_backup_ad_out_reg[4]/QN,g176353/A,0.091497,0.088755,0.091497,UNINIT,0.088755,UNINIT
output_backup_ad_out_reg[4]/QN,g140916/A1,0.091497,0.088755,0.091497,UNINIT,0.088755,UNINIT
