full_name,max_slack
wishbone_slave_unit_wishbone_slave_c_state_reg[0]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_sm_cur_state_reg[2]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_sm_cur_state_reg[1]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_sm_cur_state_reg[0]/SETN,INFINITY
wishbone_slave_unit_pci_initiator_if_read_count_reg[1]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[29]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[28]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[27]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[26]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[25]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[24]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[23]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[22]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[21]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[20]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[19]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[18]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[17]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[16]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[15]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[14]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[13]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[12]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[11]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[10]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[9]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[8]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[7]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[6]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[5]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[4]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[3]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[2]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[1]/RESETN,INFINITY
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg[0]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbw_outTransactionCount_reg[2]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbw_outTransactionCount_reg[1]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbw_fifo_ctrl_raddr_plus_one_reg[3]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbr_fifo_ctrl_wgrey_addr_reg[0]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbr_fifo_ctrl_waddr_reg[1]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_reg[0]/SETN,INFINITY
wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_plus_one_reg[3]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_plus_one_reg[2]/RESETN,INFINITY
wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_plus_one_reg[1]/SETN,INFINITY
wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_plus_one_reg[0]/RESETN,INFINITY
wishbone_slave_unit_fifos_outGreyCount_reg[0]/RESETN,INFINITY
wishbone_slave_unit_del_sync_req_comp_pending_reg/RESETN,INFINITY
wishbone_slave_unit_del_sync_comp_comp_pending_reg/RESETN,INFINITY
wishbone_slave_unit_del_sync_burst_out_reg/RESETN,INFINITY
wishbone_slave_unit_del_sync_be_out_reg[3]/RESETN,INFINITY
wishbone_slave_unit_del_sync_be_out_reg[2]/RESETN,INFINITY
wishbone_slave_unit_del_sync_be_out_reg[0]/RESETN,INFINITY
wishbone_slave_unit_del_sync_bc_out_reg[3]/RESETN,INFINITY
wishbone_slave_unit_del_sync_bc_out_reg[2]/SETN,INFINITY
wishbone_slave_unit_del_sync_bc_out_reg[1]/RESETN,INFINITY
wishbone_slave_unit_del_sync_addr_out_reg[10]/RESETN,INFINITY
pci_target_unit_wishbone_master_rty_counter_reg[7]/RESETN,INFINITY
pci_target_unit_wishbone_master_rty_counter_reg[6]/RESETN,INFINITY
pci_target_unit_wishbone_master_rty_counter_reg[5]/RESETN,INFINITY
pci_target_unit_wishbone_master_c_state_reg[2]/RESETN,INFINITY
pci_target_unit_wishbone_master_addr_cnt_out_reg[31]/RESETN,INFINITY
pci_target_unit_pci_target_sm_rd_request_reg/RESETN,INFINITY
pci_target_unit_pci_target_sm_rd_progress_reg/RESETN,INFINITY
pci_target_unit_pci_target_sm_c_state_reg[1]/RESETN,INFINITY
pci_target_unit_pci_target_if_norm_prf_en_reg/RESETN,INFINITY
pci_target_unit_pci_target_if_keep_desconnect_wo_data_set_reg/RESETN,INFINITY
pci_target_unit_fifos_pciw_inTransactionCount_reg[1]/RESETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_rgrey_next_reg[2]/RESETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_rgrey_next_reg[1]/RESETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_rgrey_next_reg[0]/SETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_rgrey_addr_reg[2]/RESETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_rgrey_addr_reg[1]/RESETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_rgrey_addr_reg[0]/RESETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_raddr_reg[2]/RESETN,INFINITY
pci_target_unit_fifos_pcir_fifo_ctrl_raddr_reg[1]/SETN,INFINITY
pci_io_mux_devsel_iob_dat_out_reg/RESETN,INFINITY
output_backup_stop_out_reg/SETN,INFINITY
output_backup_devsel_out_reg/SETN,INFINITY
