sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std
i_pci_wbs_wbb3_2_wbb2_wbs_adr_o_reg[1]/CLK,3227.7771,3227.777100,0.000000
wishbone_slave_unit_pci_initiator_if_current_last_reg/CLK,3128.041016,3128.041016,0.000000
i_pci_wbs_wbb3_2_wbb2_wbs_adr_o_reg[31]/CLK,3227.879395,3227.879395,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[0]/CLK,2659.577637,2659.577637,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[1]/CLK,2633.413818,2633.413818,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[2]/CLK,2641.931641,2641.931641,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_i_synchronizer_reg_wgrey_next_sync_data_out_reg[3]/CLK,2628.81958,2628.819580,0.000000
input_register_pci_ad_reg_out_reg[5]/CLK,3127.80542,3127.805420,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_raddr_reg[2]/CLK,2885.094238,2885.094238,0.000000
wishbone_slave_unit_del_sync_bc_out_reg[2]/CLK,3124.791992,3124.791992,0.000000
wishbone_slave_unit_fifos_i_synchronizer_reg_inGreyCount_sync_data_out_reg[0]/CLK,2434.195801,2434.195801,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_do_reg_b_reg[33]/CLK,3144.826904,3144.826904,0.000000
wishbone_slave_unit_fifos_i_synchronizer_reg_inGreyCount_sync_data_out_reg[1]/CLK,2420.631592,2420.631592,0.000000
wishbone_slave_unit_fifos_wbw_outTransactionCount_reg[2]/CLK,2383.686523,2383.686523,0.000000
wishbone_slave_unit_fifos_wbw_outTransactionCount_reg[1]/CLK,2383.594727,2383.594727,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_do_reg_b_reg[36]/CLK,3005.634766,3005.634766,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_raddr_reg[1]/CLK,2866.215332,2866.215332,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_raddr_reg[3]/CLK,2885.093018,2885.093018,0.000000
pci_target_unit_fifos_pcir_fifo_ctrl_wgrey_addr_reg[1]/CLK,2316.731934,2316.731934,0.000000
pci_target_unit_fifos_pcir_fifo_ctrl_wgrey_addr_reg[2]/CLK,2316.934814,2316.934814,0.000000
pci_target_unit_fifos_pcir_fifo_ctrl_wgrey_addr_reg[0]/CLK,2316.443115,2316.443115,0.000000
wishbone_slave_unit_fifos_i_synchronizer_reg_inGreyCount_sync_data_out_reg[2]/CLK,2444.931396,2444.931396,0.000000
wishbone_slave_unit_fifos_wbw_fifo_ctrl_wclk_rgrey_minus1_reg[0]/CLK,2688.686279,2688.686279,0.000000
pci_target_unit_fifos_pcir_fifo_ctrl_i_synchronizer_reg_wgrey_addr_sync_data_out_reg[1]/CLK,2151.201416,2151.201416,0.000000
wishbone_slave_unit_pci_initiator_if_read_bound_reg/CLK,3128.079346,3128.079346,0.000000
pci_target_unit_fifos_pcir_fifo_ctrl_i_synchronizer_reg_wgrey_addr_sync_data_out_reg[0]/CLK,2316.959229,2316.959229,0.000000
wishbone_slave_unit_fifos_wbr_fifo_ctrl_i_synchronizer_reg_wgrey_addr_sync_data_out_reg[1]/CLK,2135.76709,2135.767090,0.000000
pci_target_unit_fifos_pcir_fifo_ctrl_i_synchronizer_reg_wgrey_addr_sync_data_out_reg[2]/CLK,2124.621094,2124.621094,0.000000
wishbone_slave_unit_fifos_wbr_fifo_ctrl_wgrey_addr_reg[2]/CLK,2157.4646,2157.464600,0.000000
wishbone_slave_unit_fifos_wbr_fifo_ctrl_wgrey_addr_reg[1]/CLK,2157.431885,2157.431885,0.000000
wishbone_slave_unit_pci_initiator_if_intermediate_be_reg[2]/CLK,3125.345703,3125.345703,0.000000
wishbone_slave_unit_fifos_wbr_fifo_ctrl_i_synchronizer_reg_wgrey_addr_sync_data_out_reg[3]/CLK,2013.528564,2013.528564,0.000000
wishbone_slave_unit_fifos_wbr_fifo_ctrl_i_synchronizer_reg_wgrey_addr_sync_data_out_reg[2]/CLK,1992.696411,1992.696411,0.000000
wishbone_slave_unit_pci_initiator_if_intermediate_be_reg[3]/CLK,3124.63208,3124.632080,0.000000
wishbone_slave_unit_pci_initiator_if_intermediate_be_reg[1]/CLK,3125.128174,3125.128174,0.000000
pci_target_unit_wishbone_master_pcir_fifo_data_out_reg[31]/CLK,3125.973633,3125.973633,0.000000
wishbone_slave_unit_fifos_wbr_fifo_ctrl_i_synchronizer_reg_wgrey_addr_sync_data_out_reg[0]/CLK,1986.571777,1986.571777,0.000000
wishbone_slave_unit_pci_initiator_if_intermediate_be_reg[0]/CLK,3125.896729,3125.896729,0.000000
wishbone_slave_unit_fifos_wbr_fifo_ctrl_wgrey_addr_reg[3]/CLK,1944.011597,1944.011597,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[3][22]/CLK,3734.809814,3734.809814,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[3][20]/CLK,3717.42627,3717.426270,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[13][14]/CLK,3782.519531,3782.519531,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[15][10]/CLK,3782.170654,3782.170654,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[14][18]/CLK,3770.84668,3770.846680,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[13][11]/CLK,3782.387939,3782.387939,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[15][15]/CLK,3777.519775,3777.519775,0.000000
configuration_i_wb_init_complete_sync_sync_data_out_reg[0]/CLK,3128.025391,3128.025391,0.000000
wishbone_slave_unit_del_sync_comp_flush_out_reg/CLK,1793.112915,1793.112915,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[10][17]/CLK,3709.421631,3709.421631,0.000000
i_pci_wbs_wbb3_2_wbb2_wbs_adr_o_reg[8]/CLK,3478.797119,3478.797119,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[15][16]/CLK,3782.196045,3782.196045,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[15][21]/CLK,3782.204102,3782.204102,0.000000
wishbone_slave_unit_fifos_wbw_fifo_storage_mem_reg[14][13]/CLK,3777.256836,3777.256836,0.000000
