cell,type,class,sx,sy,px,py
FE_OFC83686_wbm_dat_o_21,BUFx6f_ASAP7_75t_SL,core,540,270,29736,2358
FE_OFC83684_pci_ad_o_31,BUFx6f_ASAP7_75t_SL,core,540,270,54900,23958
FE_OFC83682_wbm_adr_o_21,BUFx6f_ASAP7_75t_SL,core,540,270,54792,26658
FE_OFC83680_pci_ad_o_9,BUFx6f_ASAP7_75t_SL,core,540,270,55332,23418
FE_OFC83678_wbm_dat_o_27,BUFx6f_ASAP7_75t_L,core,540,270,55332,31248
FE_OFC83676_wbm_stb_o,BUFx6f_ASAP7_75t_SL,core,540,270,4572,25848
FE_OFC83674_pci_serr_oe_o,BUFx4f_ASAP7_75t_L,core,432,270,55332,24768
FE_OFC83672_pci_ad_o_29,BUFx6f_ASAP7_75t_L,core,540,270,54900,24498
FE_OFC83670_pci_ad_o_17,BUFx6f_ASAP7_75t_L,core,540,270,55332,24228
FE_OFC83668_wbm_adr_o_9,BUFx6f_ASAP7_75t_L,core,540,270,55332,29628
FE_OFC83666_wbm_adr_o_5,BUFx6f_ASAP7_75t_L,core,540,270,55332,30708
FE_OFC83664_wbs_dat_o_17,BUFx3_ASAP7_75t_L,core,324,270,24984,1008
FE_OFC83662_wbm_sel_o_0,BUFx4f_ASAP7_75t_L,core,432,270,30276,54198
FE_OFC83660_wbm_adr_o_18,BUFx6f_ASAP7_75t_L,core,540,270,27306,53928
FE_OFC83658_pci_ad_o_14,BUFx6f_ASAP7_75t_L,core,540,270,28170,53658
FE_OFC83656_wbs_dat_o_9,BUFx4f_ASAP7_75t_L,core,432,270,33192,1008
FE_OFC83654_wbm_sel_o_2,BUFx3_ASAP7_75t_L,core,324,270,25632,1548
FE_OFC83652_pci_ad_oe_o_19,BUFx6f_ASAP7_75t_SL,core,540,270,55332,27468
FE_OFC83650_pci_ad_oe_o_13,BUFx6f_ASAP7_75t_SL,core,540,270,54900,26928
FE_OFC83648_pci_req_o,BUFx6f_ASAP7_75t_L,core,540,270,54792,31788
FE_OFC83646_wb_rst_o,BUFx6f_ASAP7_75t_L,core,540,270,23688,1278
FE_OFC83644_wbs_dat_o_19,BUFx6f_ASAP7_75t_SL,core,540,270,54792,25848
FE_OFC83642_wbm_dat_o_29,BUFx12f_ASAP7_75t_L,core,972,270,3816,26928
FE_OFC83640_pci_ad_oe_o_5,BUFx6f_ASAP7_75t_L,core,540,270,27792,1278
FE_OFC83638_pci_ad_oe_o_0,BUFx6f_ASAP7_75t_L,core,540,270,2088,26928
FE_OFC83636_pci_ad_oe_o_4,BUFx6f_ASAP7_75t_L,core,540,270,1548,29088
FE_OFC83634_pci_ad_oe_o_2,BUFx6f_ASAP7_75t_L,core,540,270,1548,29628
FE_OFC83632_wbs_dat_o_26,BUFx6f_ASAP7_75t_L,core,540,270,32652,1278
FE_OFC83630_pci_devsel_oe_o,BUFx6f_ASAP7_75t_L,core,540,270,24066,55008
FE_OFC83628_wbs_dat_o_25,BUFx6f_ASAP7_75t_L,core,540,270,33192,1278
FE_OFC83626_pci_perr_o,BUFx6f_ASAP7_75t_L,core,540,270,1548,31248
FE_OFC83624_wbs_dat_o_14,BUFx6f_ASAP7_75t_L,core,540,270,1008,30978
